sepal.width	petal.length	variety
7.2	5.1	Setosa
4.1	5.6	Setosa
5.4	4.5	Setosa
2.4	5.3	Versicolor
3.8	2.7	Setosa
5.6	7.1	Virginica
3.4	5.7	Versicolor
5.0	7.9	Virginica
5.6	8.6	Virginica
2.8	6.3	Versicolor
4.7	6.9	Versicolor
4.1	1.5	Setosa
2.8	6.9	Virginica
5.2	3.5	Setosa
3.5	5.1	Versicolor
4.6	7.9	Versicolor
3.4	2.9	Setosa
2.5	9.0	Virginica
6.5	4.9	Versicolor
4.3	5.1	Versicolor
4.3	6.7	Versicolor
3.0	6.1	Virginica
5.8	2.4	Setosa
6.8	6.5	Virginica
4.4	3.6	Setosa
7.4	5.5	Versicolor
5.6	3.4	Setosa
7.5	1.3	Setosa
3.8	2.8	Setosa
4.5	2.9	Setosa
5.0	4.4	Versicolor
6.9	3.4	Setosa
4.2	5.1	Versicolor
4.8	8.0	Versicolor
3.2	7.5	Versicolor
3.6	6.0	Versicolor
5.3	6.6	Virginica
7.9	4.9	Setosa
2.8	8.4	Versicolor
5.0	5.0	Versicolor
7.4	4.2	Versicolor
7.0	3.1	Setosa
7.3	8.6	Virginica
5.4	6.8	Virginica
4.0	7.7	Versicolor
4.4	5.5	Versicolor
5.2	4.5	Setosa
4.8	5.9	Setosa
3.0	5.6	Setosa
7.1	6.4	Versicolor
4.7	6.4	Virginica
6.6	8.4	Virginica
3.5	8.8	Virginica
3.7	7.3	Virginica
8.2	2.9	Setosa
3.9	3.7	Setosa
3.6	6.4	Versicolor
5.1	3.4	Setosa
4.5	3.0	Versicolor
5.7	9.1	Virginica
3.4	5.9	Setosa
6.0	9.7	Virginica
2.8	8.1	Virginica
2.9	7.3	Versicolor
3.5	3.9	Setosa
7.6	1.5	Setosa
6.0	7.1	Virginica
4.9	6.0	Setosa
7.1	2.5	Setosa
7.8	7.7	Virginica
4.1	6.0	Versicolor
8.0	3.9	Setosa
4.8	8.7	Virginica
3.2	9.0	Virginica
3.9	4.0	Setosa
6.5	8.5	Virginica
4.8	6.6	Virginica
5.3	8.9	Virginica
2.9	7.6	Versicolor
4.7	6.0	Versicolor
7.4	4.3	Setosa
3.0	8.2	Versicolor
5.8	9.1	Virginica
4.9	5.2	Setosa
5.6	7.0	Virginica
4.0	5.9	Virginica
5.5	5.8	Setosa
7.3	7.3	Virginica
5.0	8.8	Virginica
3.8	11.2	Virginica
7.7	9.3	Versicolor
3.1	4.0	Setosa
7.2	7.2	Virginica
6.3	8.2	Versicolor
3.0	5.5	Virginica
3.5	2.4	Setosa
4.7	6.0	Versicolor
3.9	8.2	Versicolor
4.3	5.0	Setosa
7.2	3.0	Setosa
2.7	6.4	Versicolor
3.7	8.1	Virginica
4.7	6.2	Versicolor
5.9	7.4	Virginica
6.5	5.1	Versicolor
