sepal.width	variety
5.0	Versicolor
3.6	Virginica
4.0	Virginica
6.4	Versicolor
3.4	Virginica
3.6	Setosa
7.0	Setosa
3.3	Versicolor
3.5	Versicolor
6.4	Virginica
6.7	Virginica
5.5	Virginica
4.3	Versicolor
3.8	Virginica
6.8	Versicolor
4.7	Versicolor
8.4	Setosa
6.4	Versicolor
3.8	Virginica
4.9	Setosa
4.4	Setosa
6.2	Virginica
4.3	Setosa
7.8	Virginica
5.2	Virginica
4.5	Virginica
6.2	Virginica
4.0	Virginica
4.6	Versicolor
4.2	Versicolor
6.5	Setosa
4.0	Virginica
6.4	Versicolor
6.5	Virginica
3.9	Versicolor
3.5	Setosa
6.0	Versicolor
3.8	Setosa
5.5	Versicolor
2.7	Versicolor
5.5	Versicolor
7.5	Versicolor
6.4	Setosa
6.0	Virginica
4.9	Versicolor
2.8	Versicolor
6.9	Setosa
6.9	Setosa
3.9	Setosa
6.7	Virginica
3.5	Setosa
4.9	Virginica
6.1	Versicolor
4.9	Virginica
4.6	Virginica
4.6	Virginica
5.5	Virginica
3.0	Virginica
6.5	Setosa
5.8	Versicolor
6.5	Versicolor
6.1	Setosa
8.0	Setosa
5.9	Setosa
3.7	Setosa
7.2	Setosa
8.2	Setosa
3.0	Versicolor
4.2	Virginica
7.8	Virginica
4.3	Virginica
5.5	Setosa
4.6	Setosa
7.4	Versicolor
5.3	Virginica
4.6	Versicolor
6.3	Virginica
7.6	Setosa
4.6	Setosa
6.6	Setosa
4.7	Setosa
3.6	Versicolor
5.9	Setosa
6.0	Virginica
5.0	Virginica
5.3	Virginica
3.0	Virginica
7.2	Setosa
2.9	Versicolor
7.0	Virginica
5.4	Versicolor
5.5	Virginica
5.7	Versicolor
5.5	Virginica
3.7	Virginica
5.6	Virginica
6.7	Virginica
7.1	Virginica
6.0	Versicolor
6.0	Setosa
5.9	Setosa
5.7	Setosa
4.8	Versicolor
6.2	Versicolor
6.3	Versicolor
