sepal.width	variety
4.1	Virginica
7.5	Virginica
6.6	Virginica
7.0	Setosa
7.9	Setosa
3.9	Setosa
4.7	Setosa
2.4	Versicolor
6.2	Virginica
6.9	Versicolor
2.6	Versicolor
3.7	Virginica
4.0	Versicolor
7.7	Virginica
5.6	Versicolor
6.3	Versicolor
6.8	Versicolor
3.7	Virginica
2.8	Virginica
6.4	Setosa
7.6	Virginica
4.5	Versicolor
3.9	Setosa
4.7	Versicolor
6.4	Versicolor
4.6	Versicolor
7.0	Setosa
6.6	Setosa
7.0	Versicolor
7.1	Versicolor
5.1	Virginica
8.2	Setosa
7.7	Setosa
7.3	Setosa
5.9	Versicolor
5.7	Virginica
3.6	Virginica
3.5	Versicolor
6.0	Setosa
4.5	Virginica
6.2	Versicolor
4.0	Virginica
5.9	Virginica
4.5	Virginica
6.0	Virginica
7.9	Setosa
5.6	Setosa
5.0	Setosa
3.3	Virginica
4.4	Setosa
7.1	Virginica
3.5	Versicolor
8.3	Virginica
6.5	Virginica
4.6	Setosa
7.9	Setosa
5.3	Setosa
3.1	Setosa
6.3	Setosa
6.9	Setosa
3.6	Virginica
3.2	Versicolor
6.8	Virginica
3.4	Versicolor
5.5	Setosa
3.5	Virginica
7.3	Setosa
6.0	Versicolor
4.7	Virginica
6.1	Setosa
8.4	Setosa
5.5	Setosa
2.8	Virginica
6.3	Versicolor
3.0	Virginica
7.5	Setosa
5.4	Virginica
7.0	Versicolor
6.7	Virginica
4.7	Versicolor
2.8	Virginica
4.0	Versicolor
3.3	Virginica
5.4	Setosa
4.9	Setosa
6.6	Versicolor
3.2	Virginica
6.2	Versicolor
7.2	Setosa
4.8	Versicolor
6.3	Virginica
6.0	Virginica
6.8	Setosa
6.5	Virginica
4.9	Versicolor
7.1	Setosa
4.7	Versicolor
7.7	Setosa
5.3	Versicolor
2.5	Versicolor
3.6	Versicolor
5.8	Versicolor
7.5	Versicolor
7.9	Setosa
3.4	Setosa
