sepal.length	sepal.width	variety
7.8	4.0	Setosa
5.8	4.7	Versicolor
8.2	4.6	Virginica
9.6	5.8	Setosa
5.9	4.9	Setosa
8.7	4.8	Virginica
7.2	5.1	Versicolor
7.9	7.6	Versicolor
6.8	3.6	Versicolor
4.6	7.2	Setosa
8.2	4.0	Virginica
5.6	5.0	Versicolor
10.1	4.8	Virginica
8.9	4.5	Setosa
6.0	3.0	Versicolor
6.3	4.8	Virginica
12.2	5.8	Virginica
11.4	4.3	Virginica
8.1	6.0	Versicolor
4.9	4.5	Virginica
6.6	4.8	Versicolor
10.1	6.5	Virginica
5.0	3.5	Setosa
8.0	3.5	Virginica
8.8	3.3	Versicolor
6.6	4.3	Setosa
7.0	5.0	Setosa
5.5	6.5	Setosa
7.2	6.4	Virginica
11.4	4.8	Virginica
8.6	7.4	Setosa
9.3	6.7	Virginica
7.0	5.5	Virginica
6.7	7.0	Virginica
8.9	5.1	Virginica
7.6	6.5	Virginica
6.2	8.3	Setosa
10.8	5.3	Virginica
6.1	5.2	Versicolor
10.6	2.9	Versicolor
5.3	4.0	Setosa
10.2	4.9	Setosa
9.8	5.2	Setosa
6.6	7.5	Setosa
7.5	7.2	Setosa
7.9	8.4	Setosa
5.2	4.4	Setosa
9.5	4.0	Setosa
7.7	7.7	Setosa
7.0	3.3	Setosa
9.0	6.7	Versicolor
5.7	3.3	Versicolor
4.8	3.1	Setosa
8.1	3.5	Setosa
5.3	4.4	Setosa
6.0	3.8	Versicolor
8.2	3.1	Versicolor
8.2	5.4	Versicolor
5.3	7.9	Setosa
7.7	5.1	Versicolor
6.3	7.8	Versicolor
10.0	3.8	Versicolor
7.0	8.1	Setosa
8.2	6.6	Setosa
8.5	7.2	Virginica
9.1	5.2	Setosa
10.1	3.4	Versicolor
10.3	3.9	Virginica
8.2	5.3	Versicolor
8.9	6.4	Setosa
9.3	4.4	Virginica
6.9	6.5	Versicolor
8.0	6.4	Setosa
7.4	4.3	Virginica
6.3	4.0	Versicolor
11.7	7.5	Virginica
8.1	5.5	Versicolor
10.1	3.0	Versicolor
9.4	4.0	Virginica
11.2	8.3	Virginica
9.9	4.4	Versicolor
6.9	6.6	Setosa
8.3	3.0	Setosa
9.0	7.9	Versicolor
6.6	6.1	Setosa
10.0	4.4	Versicolor
7.4	5.2	Virginica
7.7	4.0	Virginica
8.2	7.6	Virginica
5.7	3.5	Setosa
8.1	6.3	Setosa
6.3	6.3	Virginica
6.6	2.8	Versicolor
7.5	6.3	Setosa
8.0	6.9	Versicolor
9.9	6.9	Setosa
8.2	7.5	Virginica
9.9	3.6	Virginica
9.3	6.2	Virginica
7.6	4.5	Versicolor
6.5	2.8	Versicolor
6.6	5.1	Setosa
6.8	7.5	Virginica
9.7	4.6	Virginica
8.2	7.5	Versicolor
