petal.length	petal.width	variety
6.0	1.6	Setosa
6.2	3.5	Versicolor
6.5	3.8	Versicolor
6.5	4.3	Versicolor
5.9	3.5	Versicolor
7.0	2.7	Virginica
3.0	3.7	Setosa
6.4	4.8	Virginica
9.3	4.1	Virginica
8.6	3.4	Virginica
8.0	4.0	Versicolor
6.1	3.7	Setosa
6.7	2.4	Versicolor
3.8	5.0	Versicolor
5.0	2.7	Setosa
3.0	0.7	Setosa
5.6	4.8	Versicolor
3.1	3.2	Setosa
6.9	2.4	Versicolor
5.0	2.5	Versicolor
8.5	4.0	Versicolor
4.4	2.2	Setosa
5.0	3.2	Setosa
8.2	7.0	Virginica
5.2	4.2	Versicolor
5.9	2.6	Setosa
9.2	1.6	Versicolor
6.9	4.5	Versicolor
7.6	4.0	Virginica
3.4	0.8	Setosa
5.5	2.4	Virginica
5.4	3.1	Versicolor
6.3	1.8	Versicolor
6.4	6.5	Virginica
6.0	4.2	Versicolor
3.5	1.9	Setosa
7.9	5.7	Versicolor
3.2	0.2	Setosa
9.9	5.6	Virginica
8.8	3.8	Virginica
10.1	2.1	Virginica
8.4	5.9	Versicolor
8.1	2.3	Versicolor
2.2	3.4	Setosa
7.5	3.0	Versicolor
9.7	4.8	Virginica
6.0	5.0	Versicolor
5.1	1.4	Setosa
7.8	3.3	Virginica
5.4	6.1	Virginica
6.3	3.9	Versicolor
3.4	2.6	Setosa
6.5	5.5	Virginica
6.5	5.0	Versicolor
11.1	4.1	Virginica
9.3	4.3	Virginica
7.1	5.9	Virginica
8.6	6.3	Virginica
3.6	2.7	Setosa
6.2	6.6	Virginica
9.2	2.8	Virginica
8.6	5.0	Virginica
1.7	3.2	Setosa
5.6	1.2	Setosa
4.5	4.2	Setosa
9.1	4.4	Virginica
6.2	5.0	Virginica
7.5	2.5	Virginica
9.6	5.9	Virginica
7.0	3.5	Virginica
4.2	4.0	Versicolor
7.4	4.5	Virginica
2.7	1.2	Setosa
1.8	4.7	Setosa
8.9	4.3	Virginica
6.8	3.8	Versicolor
4.9	5.9	Versicolor
4.4	3.7	Setosa
7.1	4.9	Virginica
3.5	4.7	Setosa
6.5	2.3	Versicolor
4.5	1.6	Versicolor
2.8	4.7	Setosa
8.6	3.4	Virginica
6.0	4.3	Setosa
11.2	3.2	Virginica
6.6	5.5	Virginica
9.8	6.7	Virginica
7.1	2.8	Versicolor
9.6	4.8	Virginica
3.6	3.6	Setosa
6.8	1.1	Versicolor
6.0	6.0	Versicolor
4.9	0.7	Setosa
6.4	5.3	Versicolor
4.2	2.3	Setosa
2.4	4.2	Setosa
2.8	4.3	Setosa
8.5	2.3	Versicolor
5.0	2.6	Versicolor
6.4	1.4	Setosa
5.9	0.7	Setosa
5.4	2.7	Setosa
6.1	4.7	Virginica
7.9	2.8	Virginica
