sepal.width	variety
3.1	Versicolor
5.8	Virginica
6.4	Versicolor
5.0	Virginica
6.4	Setosa
2.5	Versicolor
4.8	Virginica
6.2	Virginica
5.0	Setosa
4.3	Versicolor
3.8	Virginica
7.3	Setosa
6.2	Setosa
4.3	Versicolor
3.2	Virginica
5.1	Versicolor
8.3	Setosa
6.9	Setosa
6.9	Versicolor
7.6	Setosa
4.0	Versicolor
5.8	Setosa
2.8	Virginica
3.4	Setosa
4.0	Virginica
4.1	Setosa
3.9	Setosa
6.4	Versicolor
4.9	Setosa
4.7	Setosa
4.2	Virginica
4.3	Virginica
7.7	Virginica
6.6	Virginica
2.8	Virginica
3.1	Virginica
3.9	Setosa
4.2	Setosa
6.4	Setosa
2.6	Virginica
6.8	Versicolor
3.6	Versicolor
6.8	Versicolor
6.4	Virginica
2.5	Virginica
5.8	Virginica
3.3	Setosa
4.1	Setosa
3.4	Versicolor
6.2	Setosa
5.7	Setosa
7.0	Setosa
3.4	Versicolor
6.9	Virginica
4.8	Versicolor
7.9	Setosa
6.7	Versicolor
6.8	Virginica
3.0	Virginica
6.5	Virginica
3.3	Versicolor
4.7	Versicolor
6.0	Virginica
4.5	Versicolor
7.7	Versicolor
6.2	Versicolor
4.0	Setosa
4.5	Virginica
3.2	Versicolor
4.1	Setosa
7.5	Virginica
5.1	Virginica
3.1	Versicolor
5.8	Setosa
4.7	Versicolor
4.0	Virginica
3.9	Setosa
4.0	Setosa
4.1	Setosa
7.6	Setosa
4.9	Versicolor
5.0	Versicolor
5.2	Versicolor
4.5	Setosa
5.9	Versicolor
6.7	Setosa
2.9	Versicolor
4.9	Versicolor
6.0	Versicolor
4.5	Versicolor
7.0	Setosa
5.5	Versicolor
6.3	Virginica
7.4	Setosa
3.3	Versicolor
5.3	Virginica
4.8	Versicolor
3.0	Virginica
4.7	Versicolor
4.3	Setosa
6.0	Setosa
4.0	Setosa
3.1	Versicolor
3.6	Setosa
3.1	Virginica
