sepal.length	variety
7.1	Versicolor
8.2	Virginica
6.7	Virginica
10.4	Virginica
11.3	Virginica
6.1	Setosa
8.9	Setosa
5.0	Versicolor
5.3	Setosa
10.8	Virginica
10.9	Virginica
7.9	Versicolor
9.5	Setosa
4.4	Setosa
10.8	Virginica
8.2	Virginica
5.7	Virginica
10.5	Virginica
10.6	Virginica
7.8	Virginica
10.6	Virginica
7.5	Setosa
6.9	Setosa
8.9	Versicolor
9.5	Versicolor
7.1	Versicolor
9.5	Setosa
8.4	Versicolor
8.0	Virginica
6.3	Versicolor
9.6	Setosa
7.8	Versicolor
8.9	Setosa
7.2	Versicolor
10.2	Versicolor
9.0	Setosa
8.8	Setosa
8.4	Setosa
9.7	Virginica
5.7	Versicolor
10.2	Versicolor
7.1	Versicolor
9.6	Versicolor
8.3	Virginica
9.2	Setosa
7.0	Setosa
9.1	Setosa
8.1	Setosa
6.7	Versicolor
8.0	Virginica
8.2	Virginica
4.8	Setosa
11.7	Virginica
7.9	Setosa
7.5	Setosa
10.0	Versicolor
9.6	Virginica
6.9	Virginica
10.4	Versicolor
6.2	Versicolor
6.1	Versicolor
6.5	Setosa
10.4	Virginica
9.2	Setosa
8.6	Versicolor
5.1	Setosa
5.6	Setosa
9.8	Virginica
9.4	Setosa
10.6	Versicolor
7.9	Virginica
5.7	Setosa
9.6	Virginica
8.1	Setosa
8.9	Virginica
6.1	Versicolor
6.2	Setosa
9.3	Setosa
10.0	Versicolor
8.2	Versicolor
8.8	Versicolor
5.7	Versicolor
9.5	Versicolor
9.5	Versicolor
5.2	Setosa
8.4	Virginica
7.1	Setosa
8.9	Virginica
7.3	Setosa
8.4	Setosa
5.8	Setosa
5.9	Versicolor
5.6	Setosa
5.8	Virginica
6.9	Setosa
7.3	Virginica
7.1	Versicolor
10.5	Versicolor
10.3	Virginica
9.1	Versicolor
9.9	Versicolor
6.1	Setosa
8.2	Versicolor
7.6	Versicolor
6.5	Virginica
