petal.width	variety
5.4	Virginica
6.8	Virginica
2.7	Versicolor
5.5	Versicolor
4.0	Virginica
2.8	Versicolor
3.7	Virginica
5.8	Virginica
1.3	Versicolor
5.4	Versicolor
4.3	Virginica
2.4	Virginica
1.7	Setosa
6.7	Virginica
6.6	Virginica
5.0	Versicolor
6.3	Virginica
2.7	Setosa
4.2	Virginica
4.8	Virginica
6.3	Virginica
6.0	Versicolor
6.3	Virginica
4.3	Virginica
5.8	Versicolor
1.3	Versicolor
4.7	Setosa
3.8	Versicolor
4.4	Versicolor
3.3	Versicolor
4.3	Versicolor
1.2	Setosa
1.2	Setosa
2.0	Versicolor
2.4	Setosa
4.3	Setosa
3.7	Setosa
2.2	Versicolor
2.3	Setosa
4.3	Virginica
3.6	Versicolor
4.4	Setosa
0.6	Setosa
2.7	Setosa
0.7	Setosa
6.8	Virginica
3.4	Versicolor
3.0	Virginica
3.2	Virginica
4.0	Versicolor
0.7	Setosa
3.7	Setosa
3.5	Versicolor
3.4	Versicolor
2.6	Setosa
4.9	Setosa
2.7	Setosa
2.1	Versicolor
1.5	Virginica
5.5	Versicolor
4.9	Setosa
5.8	Virginica
4.0	Versicolor
4.1	Versicolor
2.5	Versicolor
3.5	Versicolor
3.2	Versicolor
3.2	Setosa
5.8	Virginica
3.4	Setosa
6.8	Virginica
4.9	Virginica
5.0	Versicolor
2.2	Versicolor
3.6	Versicolor
0.6	Setosa
2.3	Versicolor
5.3	Versicolor
3.8	Versicolor
3.9	Virginica
3.9	Versicolor
4.9	Virginica
3.2	Setosa
1.7	Setosa
2.5	Virginica
2.3	Virginica
5.8	Versicolor
5.5	Versicolor
5.0	Virginica
1.5	Setosa
2.3	Versicolor
4.8	Versicolor
5.4	Virginica
5.6	Virginica
3.6	Setosa
1.3	Versicolor
5.0	Virginica
1.5	Versicolor
3.7	Setosa
1.0	Versicolor
2.0	Versicolor
4.3	Virginica
3.3	Virginica
0.7	Setosa
2.7	Setosa
