petal.length	variety
4.1	Versicolor
10.1	Virginica
9.5	Virginica
6.0	Versicolor
6.8	Virginica
8.2	Virginica
9.6	Virginica
8.2	Versicolor
4.5	Setosa
6.6	Virginica
2.0	Setosa
5.6	Setosa
5.6	Versicolor
3.8	Versicolor
8.0	Versicolor
5.1	Virginica
8.5	Versicolor
8.3	Virginica
6.8	Virginica
10.2	Virginica
3.4	Setosa
8.3	Virginica
7.2	Versicolor
8.6	Virginica
4.2	Versicolor
5.0	Versicolor
9.0	Virginica
6.0	Setosa
5.7	Setosa
8.1	Virginica
6.1	Versicolor
4.8	Setosa
5.1	Setosa
2.4	Setosa
5.5	Virginica
4.7	Setosa
9.4	Virginica
4.0	Setosa
8.1	Versicolor
8.0	Versicolor
9.6	Virginica
4.2	Versicolor
7.2	Versicolor
10.1	Virginica
4.5	Setosa
7.5	Versicolor
7.9	Virginica
4.1	Versicolor
7.7	Virginica
9.1	Virginica
5.6	Setosa
9.4	Virginica
2.4	Setosa
4.8	Versicolor
5.0	Virginica
1.8	Setosa
5.9	Setosa
11.2	Virginica
4.9	Versicolor
8.6	Virginica
6.0	Versicolor
2.2	Setosa
2.9	Setosa
2.1	Setosa
8.9	Versicolor
5.6	Versicolor
5.9	Setosa
6.4	Virginica
5.8	Virginica
4.7	Versicolor
5.8	Setosa
8.2	Versicolor
3.9	Versicolor
5.4	Setosa
5.5	Setosa
7.2	Virginica
6.0	Versicolor
1.6	Setosa
5.0	Setosa
3.9	Setosa
6.4	Virginica
6.6	Virginica
3.2	Setosa
7.8	Virginica
4.9	Setosa
1.5	Setosa
2.1	Setosa
2.5	Setosa
3.6	Setosa
9.5	Virginica
7.7	Versicolor
9.7	Virginica
5.5	Setosa
7.0	Virginica
6.9	Virginica
6.2	Versicolor
5.4	Setosa
5.5	Virginica
3.9	Setosa
9.5	Virginica
7.0	Versicolor
5.4	Setosa
3.9	Setosa
3.4	Setosa
4.5	Versicolor
