petal.length	petal.width	variety
3.8	4.7	Setosa
7.9	2.0	Versicolor
8.6	1.9	Virginica
7.9	5.5	Virginica
6.6	6.6	Virginica
4.1	2.8	Versicolor
7.0	1.3	Versicolor
7.2	2.8	Versicolor
3.0	4.7	Setosa
1.4	1.6	Setosa
5.6	2.2	Setosa
5.9	4.2	Setosa
6.5	4.3	Virginica
4.3	0.7	Setosa
8.6	5.5	Virginica
5.2	4.0	Versicolor
7.3	4.3	Virginica
2.9	1.7	Setosa
4.0	5.7	Versicolor
5.0	5.5	Versicolor
7.8	2.2	Virginica
6.2	3.1	Versicolor
1.6	1.1	Setosa
6.5	2.0	Versicolor
7.9	4.9	Versicolor
4.9	0.7	Setosa
7.6	4.9	Versicolor
1.5	1.2	Setosa
5.0	2.8	Setosa
5.0	4.0	Versicolor
9.9	5.3	Virginica
5.9	2.6	Virginica
4.3	5.8	Versicolor
7.0	6.0	Versicolor
1.1	0.6	Setosa
7.1	5.9	Virginica
2.5	0.9	Setosa
9.3	3.4	Virginica
2.4	4.7	Setosa
8.8	2.8	Versicolor
4.9	4.9	Versicolor
8.7	4.4	Versicolor
7.4	4.3	Virginica
4.5	5.5	Versicolor
3.8	5.1	Versicolor
6.6	4.9	Virginica
8.2	2.5	Virginica
8.1	1.5	Versicolor
5.6	1.8	Versicolor
4.8	1.8	Setosa
4.9	2.8	Setosa
7.3	4.3	Versicolor
8.7	5.6	Virginica
5.8	1.0	Versicolor
3.2	4.3	Setosa
3.3	1.2	Setosa
5.1	2.7	Setosa
2.6	4.7	Setosa
5.1	1.5	Versicolor
8.6	5.3	Versicolor
5.9	6.1	Virginica
5.5	1.9	Setosa
7.0	4.8	Virginica
5.1	6.3	Virginica
4.9	3.7	Setosa
5.9	4.7	Setosa
1.9	3.1	Setosa
4.7	2.2	Versicolor
7.0	3.8	Versicolor
8.4	6.3	Virginica
2.9	1.4	Setosa
6.3	1.5	Versicolor
1.5	4.7	Setosa
4.5	3.2	Setosa
10.1	2.1	Virginica
1.8	4.2	Setosa
5.8	5.8	Virginica
6.0	5.3	Virginica
7.2	2.0	Virginica
6.1	4.7	Setosa
7.6	6.4	Virginica
6.3	4.9	Versicolor
9.6	4.4	Virginica
8.2	1.8	Versicolor
8.5	3.9	Virginica
4.2	4.5	Setosa
9.6	3.5	Virginica
5.6	6.0	Virginica
5.0	4.0	Versicolor
6.0	2.9	Setosa
4.0	3.3	Versicolor
8.2	4.5	Versicolor
6.6	1.6	Versicolor
7.0	3.2	Virginica
2.5	4.1	Setosa
9.6	5.4	Virginica
4.7	3.7	Setosa
7.0	3.5	Versicolor
4.8	1.8	Virginica
10.7	5.2	Virginica
7.3	5.3	Virginica
5.9	3.2	Setosa
6.6	2.8	Virginica
5.7	1.7	Versicolor
4.4	4.1	Versicolor
