petal.length	variety
4.4	Setosa
8.0	Versicolor
8.6	Versicolor
3.8	Setosa
6.1	Virginica
5.7	Versicolor
4.3	Setosa
1.4	Setosa
8.4	Versicolor
8.8	Versicolor
2.0	Setosa
6.5	Versicolor
6.6	Virginica
6.7	Virginica
8.6	Virginica
7.4	Versicolor
4.9	Setosa
7.6	Virginica
4.0	Setosa
4.4	Versicolor
5.0	Virginica
6.6	Virginica
8.4	Versicolor
8.6	Versicolor
8.2	Versicolor
7.6	Versicolor
6.9	Virginica
4.6	Versicolor
4.4	Setosa
7.2	Virginica
5.1	Versicolor
2.5	Setosa
5.0	Versicolor
3.3	Setosa
7.1	Versicolor
8.3	Virginica
2.5	Setosa
3.1	Setosa
5.2	Setosa
7.6	Virginica
6.9	Versicolor
7.0	Virginica
7.4	Virginica
6.8	Virginica
6.5	Versicolor
5.2	Setosa
7.5	Versicolor
1.5	Setosa
6.9	Versicolor
6.8	Versicolor
5.5	Virginica
7.3	Virginica
7.7	Versicolor
4.6	Setosa
6.0	Virginica
6.2	Versicolor
10.0	Virginica
5.4	Versicolor
8.3	Versicolor
7.0	Versicolor
2.1	Setosa
3.9	Setosa
3.9	Setosa
7.6	Versicolor
10.5	Virginica
2.8	Setosa
1.5	Setosa
6.7	Versicolor
6.1	Virginica
10.1	Virginica
7.1	Versicolor
4.4	Setosa
8.0	Virginica
7.7	Virginica
5.4	Setosa
8.5	Versicolor
9.0	Virginica
6.4	Virginica
1.8	Setosa
8.1	Virginica
6.5	Versicolor
8.8	Versicolor
1.9	Setosa
5.7	Setosa
8.2	Versicolor
7.2	Virginica
7.3	Virginica
6.7	Versicolor
10.4	Virginica
10.2	Virginica
10.6	Virginica
4.1	Setosa
2.7	Setosa
1.5	Setosa
6.9	Virginica
5.0	Versicolor
7.8	Virginica
8.3	Virginica
7.1	Virginica
11.4	Virginica
2.1	Setosa
8.2	Virginica
4.5	Setosa
2.2	Setosa
7.1	Virginica
