petal.width	variety
2.7	Virginica
3.2	Setosa
3.4	Virginica
6.5	Virginica
2.9	Virginica
4.8	Virginica
3.2	Setosa
1.3	Setosa
4.2	Setosa
5.4	Virginica
3.3	Versicolor
2.3	Versicolor
5.3	Virginica
4.7	Virginica
5.0	Versicolor
0.2	Setosa
5.9	Versicolor
3.8	Virginica
5.4	Versicolor
4.8	Virginica
2.2	Setosa
4.2	Virginica
1.8	Versicolor
4.7	Setosa
5.8	Virginica
4.7	Versicolor
4.2	Setosa
2.1	Versicolor
1.8	Virginica
3.0	Versicolor
3.1	Virginica
1.4	Setosa
2.2	Versicolor
3.1	Virginica
3.0	Virginica
1.8	Virginica
2.8	Virginica
4.7	Setosa
1.7	Setosa
0.4	Setosa
3.6	Versicolor
5.0	Virginica
7.0	Virginica
3.9	Versicolor
1.8	Versicolor
5.0	Setosa
5.1	Virginica
1.3	Versicolor
5.0	Virginica
2.4	Virginica
5.2	Versicolor
4.6	Versicolor
5.7	Versicolor
4.3	Versicolor
1.1	Versicolor
4.4	Versicolor
5.3	Virginica
2.7	Setosa
1.0	Versicolor
5.5	Versicolor
1.5	Versicolor
3.5	Versicolor
2.8	Versicolor
2.4	Versicolor
5.3	Virginica
4.3	Versicolor
4.0	Versicolor
1.9	Virginica
3.4	Virginica
2.2	Setosa
4.8	Setosa
0.1	Setosa
3.7	Setosa
3.1	Setosa
1.7	Setosa
1.3	Versicolor
6.5	Virginica
4.9	Versicolor
3.1	Setosa
3.5	Versicolor
6.3	Virginica
6.3	Virginica
1.7	Setosa
2.7	Setosa
5.0	Versicolor
2.0	Virginica
4.2	Setosa
4.7	Setosa
3.3	Versicolor
4.0	Versicolor
4.2	Setosa
3.1	Versicolor
5.5	Virginica
5.2	Virginica
3.2	Setosa
4.0	Versicolor
1.4	Setosa
3.1	Setosa
4.7	Setosa
4.5	Versicolor
2.6	Virginica
4.0	Versicolor
3.0	Versicolor
2.1	Virginica
4.5	Virginica
