sepal.length	variety
8.4	Virginica
10.9	Virginica
10.2	Versicolor
9.4	Virginica
7.1	Setosa
9.2	Versicolor
8.9	Setosa
10.8	Versicolor
8.5	Setosa
6.9	Setosa
8.5	Setosa
7.3	Versicolor
7.6	Versicolor
9.8	Virginica
7.7	Virginica
7.1	Versicolor
8.0	Versicolor
5.0	Setosa
8.7	Virginica
5.5	Setosa
8.4	Virginica
9.1	Setosa
10.3	Versicolor
7.5	Virginica
9.7	Versicolor
7.0	Setosa
9.1	Versicolor
7.7	Versicolor
8.8	Virginica
9.7	Versicolor
6.3	Virginica
7.1	Setosa
9.6	Versicolor
8.1	Versicolor
10.2	Virginica
7.3	Versicolor
8.0	Virginica
7.4	Virginica
4.7	Setosa
7.6	Virginica
6.5	Virginica
6.7	Versicolor
8.8	Virginica
11.3	Virginica
5.4	Setosa
6.7	Setosa
8.1	Versicolor
6.4	Setosa
5.1	Setosa
9.2	Versicolor
8.5	Versicolor
5.1	Setosa
6.5	Versicolor
7.5	Virginica
7.2	Setosa
8.7	Virginica
4.8	Setosa
7.9	Virginica
6.6	Setosa
7.8	Setosa
4.4	Setosa
7.7	Setosa
7.4	Versicolor
8.4	Virginica
7.4	Versicolor
10.7	Virginica
8.9	Versicolor
7.0	Versicolor
7.6	Setosa
10.8	Virginica
6.7	Setosa
7.6	Versicolor
9.1	Virginica
10.3	Virginica
7.2	Versicolor
8.7	Virginica
10.8	Virginica
6.2	Versicolor
4.8	Setosa
6.9	Virginica
10.1	Versicolor
12.2	Virginica
5.5	Versicolor
8.1	Virginica
9.2	Virginica
8.5	Setosa
7.4	Versicolor
6.8	Setosa
6.4	Setosa
9.7	Virginica
5.0	Versicolor
8.5	Versicolor
5.4	Setosa
6.1	Versicolor
9.2	Virginica
4.8	Setosa
5.2	Setosa
10.3	Virginica
7.0	Setosa
7.5	Virginica
10.1	Virginica
10.4	Versicolor
7.3	Setosa
8.5	Versicolor
5.5	Setosa
