sepal.length	sepal.width	variety
9.1	4.5	Virginica
7.3	3.9	Virginica
10.0	2.2	Versicolor
9.5	6.2	Virginica
7.9	7.0	Versicolor
8.3	3.1	Versicolor
10.7	5.6	Virginica
8.4	5.5	Setosa
11.7	6.3	Virginica
11.1	7.0	Virginica
10.2	7.5	Virginica
7.1	6.5	Versicolor
6.8	5.7	Virginica
7.7	6.3	Virginica
10.7	5.7	Virginica
8.7	6.9	Versicolor
8.0	6.2	Setosa
5.5	4.8	Versicolor
7.5	3.5	Virginica
8.0	3.5	Setosa
9.6	5.0	Versicolor
9.8	4.8	Versicolor
6.6	6.6	Setosa
8.4	7.9	Setosa
9.6	4.3	Versicolor
9.7	5.1	Versicolor
10.0	3.9	Versicolor
6.6	5.0	Versicolor
10.0	4.2	Virginica
7.9	7.5	Setosa
9.1	8.0	Setosa
6.2	6.2	Versicolor
7.3	6.5	Setosa
8.3	5.5	Versicolor
7.4	5.2	Virginica
4.9	6.6	Setosa
8.6	3.5	Virginica
6.3	7.4	Virginica
10.9	5.2	Virginica
9.0	2.0	Versicolor
6.3	5.7	Virginica
5.4	8.4	Setosa
7.9	3.7	Virginica
8.3	5.2	Virginica
8.1	6.1	Virginica
6.3	5.4	Setosa
7.8	4.7	Versicolor
8.5	3.5	Setosa
9.8	5.4	Virginica
8.5	2.4	Versicolor
8.9	7.7	Setosa
8.1	5.3	Setosa
7.0	6.0	Virginica
11.7	5.0	Virginica
8.6	6.1	Setosa
10.2	6.6	Virginica
4.8	3.6	Setosa
7.5	3.8	Versicolor
6.5	5.7	Versicolor
6.7	4.4	Setosa
9.9	2.8	Virginica
6.1	5.2	Setosa
10.6	6.0	Versicolor
11.7	3.8	Virginica
8.4	6.6	Versicolor
10.7	3.0	Virginica
6.6	3.3	Versicolor
7.0	7.0	Virginica
7.5	4.3	Setosa
7.2	3.5	Virginica
8.1	7.5	Versicolor
5.6	4.8	Setosa
7.2	4.0	Virginica
9.4	7.5	Virginica
7.2	5.1	Virginica
8.9	6.9	Versicolor
7.9	3.6	Setosa
10.7	5.6	Versicolor
11.2	7.8	Virginica
9.1	4.9	Setosa
8.2	5.2	Versicolor
10.1	6.4	Versicolor
7.5	6.0	Setosa
6.7	7.9	Virginica
10.2	6.5	Versicolor
7.9	6.7	Versicolor
9.8	7.2	Virginica
7.5	6.4	Versicolor
8.7	3.4	Versicolor
8.7	6.5	Versicolor
9.1	4.4	Versicolor
6.5	6.0	Versicolor
10.9	5.8	Virginica
9.2	6.8	Versicolor
7.4	6.3	Virginica
6.4	3.9	Setosa
9.5	3.6	Setosa
6.0	4.3	Setosa
6.9	4.7	Setosa
10.8	7.8	Virginica
10.0	2.8	Versicolor
10.9	7.1	Virginica
9.1	4.5	Setosa
8.2	6.8	Versicolor
6.4	3.9	Setosa
