petal.length	variety
3.4	Setosa
2.1	Setosa
2.9	Setosa
8.2	Versicolor
9.3	Virginica
3.3	Setosa
6.6	Virginica
6.0	Versicolor
4.4	Versicolor
7.0	Versicolor
9.5	Virginica
6.5	Versicolor
5.6	Virginica
8.2	Versicolor
8.7	Versicolor
7.2	Virginica
1.6	Setosa
1.3	Setosa
6.6	Versicolor
8.9	Versicolor
5.5	Setosa
6.3	Virginica
4.1	Versicolor
4.7	Versicolor
6.8	Virginica
5.6	Setosa
6.0	Virginica
3.7	Versicolor
2.0	Setosa
5.0	Virginica
1.8	Setosa
9.5	Virginica
8.7	Virginica
8.5	Virginica
2.8	Setosa
6.0	Setosa
7.7	Virginica
5.4	Setosa
8.6	Virginica
7.3	Versicolor
8.0	Versicolor
5.5	Versicolor
1.9	Setosa
3.5	Setosa
2.7	Setosa
3.2	Setosa
7.0	Versicolor
9.0	Versicolor
6.0	Versicolor
4.9	Versicolor
4.6	Setosa
9.6	Virginica
5.9	Virginica
9.0	Versicolor
4.0	Versicolor
6.4	Virginica
6.5	Versicolor
1.5	Setosa
5.9	Setosa
7.2	Virginica
1.9	Setosa
1.3	Setosa
4.4	Setosa
5.2	Setosa
3.5	Versicolor
6.1	Virginica
5.7	Setosa
7.6	Virginica
6.6	Versicolor
7.4	Virginica
7.0	Versicolor
8.2	Versicolor
9.6	Virginica
7.1	Virginica
5.1	Versicolor
2.1	Setosa
7.7	Versicolor
4.8	Versicolor
6.0	Setosa
4.4	Versicolor
3.5	Setosa
7.5	Versicolor
9.3	Versicolor
2.5	Setosa
6.3	Virginica
2.1	Setosa
3.5	Setosa
9.3	Virginica
10.1	Virginica
8.7	Versicolor
6.9	Versicolor
4.3	Versicolor
5.3	Setosa
2.0	Setosa
9.1	Virginica
2.1	Setosa
8.9	Versicolor
5.8	Virginica
10.3	Virginica
8.9	Virginica
7.9	Versicolor
3.5	Setosa
4.9	Versicolor
1.7	Setosa
5.5	Versicolor
