petal.width	variety
4.1	Versicolor
2.1	Virginica
4.2	Virginica
4.7	Setosa
5.8	Virginica
1.4	Versicolor
3.7	Setosa
6.3	Virginica
1.6	Versicolor
5.3	Virginica
3.4	Virginica
4.1	Virginica
2.0	Versicolor
1.8	Setosa
2.8	Virginica
5.6	Virginica
1.7	Setosa
3.4	Virginica
5.0	Virginica
2.0	Versicolor
2.2	Setosa
2.2	Setosa
3.4	Setosa
1.5	Versicolor
3.8	Virginica
2.2	Virginica
1.1	Setosa
4.5	Versicolor
5.4	Versicolor
5.5	Versicolor
2.3	Virginica
3.7	Versicolor
0.2	Setosa
1.8	Versicolor
5.3	Versicolor
6.0	Versicolor
6.3	Virginica
2.5	Versicolor
3.8	Virginica
1.0	Setosa
5.6	Versicolor
3.3	Setosa
1.7	Setosa
5.4	Versicolor
5.8	Versicolor
4.2	Versicolor
4.7	Virginica
2.3	Setosa
1.4	Setosa
2.8	Versicolor
4.2	Setosa
4.7	Setosa
1.7	Setosa
5.9	Virginica
3.7	Setosa
6.3	Virginica
1.3	Setosa
4.0	Versicolor
5.6	Versicolor
3.1	Virginica
2.7	Setosa
2.9	Setosa
2.7	Setosa
3.4	Setosa
2.6	Setosa
6.3	Virginica
4.0	Virginica
3.8	Versicolor
5.0	Virginica
2.9	Virginica
0.7	Setosa
3.3	Virginica
4.0	Virginica
3.5	Versicolor
3.6	Virginica
3.8	Versicolor
1.8	Virginica
1.4	Setosa
4.8	Virginica
5.1	Virginica
2.2	Setosa
6.2	Versicolor
3.3	Setosa
2.8	Virginica
5.2	Versicolor
7.0	Virginica
6.0	Virginica
5.5	Virginica
1.9	Virginica
4.0	Versicolor
4.3	Virginica
5.9	Versicolor
4.3	Setosa
0.2	Setosa
5.8	Versicolor
5.9	Virginica
6.3	Virginica
5.9	Versicolor
5.3	Versicolor
1.3	Versicolor
3.7	Virginica
3.4	Versicolor
4.1	Setosa
4.3	Virginica
3.9	Setosa
