sepal.length	sepal.width	petal.length	variety
7.2	7.2	8.0	Virginica
7.0	7.8	4.4	Setosa
10.4	4.7	7.8	Virginica
10.0	7.9	5.0	Versicolor
6.9	4.0	2.4	Setosa
5.4	3.5	3.8	Setosa
8.5	4.9	5.7	Versicolor
7.4	5.9	1.7	Setosa
6.6	7.5	5.4	Versicolor
7.8	3.0	2.4	Setosa
6.1	7.3	8.4	Virginica
7.9	7.0	8.6	Virginica
9.4	7.2	5.5	Setosa
7.2	7.0	7.8	Virginica
7.7	6.1	4.4	Versicolor
7.1	3.4	6.6	Versicolor
7.7	4.1	6.6	Virginica
6.4	7.0	6.0	Versicolor
9.6	7.3	4.9	Setosa
6.4	6.2	2.3	Setosa
7.5	3.3	8.6	Versicolor
7.9	3.9	2.4	Setosa
6.5	5.7	8.1	Virginica
8.7	3.5	4.0	Setosa
10.0	7.5	4.3	Setosa
9.0	6.4	6.0	Setosa
5.1	6.2	5.9	Setosa
8.6	3.9	7.7	Versicolor
9.8	6.3	7.6	Virginica
8.5	6.5	4.1	Setosa
6.5	6.2	6.5	Versicolor
9.4	6.9	4.3	Setosa
9.6	7.7	1.5	Setosa
10.8	3.9	9.6	Virginica
5.5	6.9	2.6	Setosa
10.8	3.8	9.3	Versicolor
7.3	3.5	5.1	Setosa
9.3	4.9	3.4	Setosa
7.9	3.6	5.5	Virginica
6.0	6.7	4.9	Setosa
8.7	3.4	8.3	Versicolor
10.4	4.0	6.2	Versicolor
7.5	7.5	3.8	Setosa
5.7	5.5	7.7	Versicolor
10.3	7.0	7.5	Virginica
7.3	5.7	7.6	Virginica
5.0	4.5	6.0	Versicolor
10.3	6.7	5.4	Virginica
9.8	6.8	7.4	Versicolor
10.4	5.8	6.1	Virginica
7.8	6.3	8.2	Versicolor
4.9	4.1	4.4	Setosa
6.1	3.5	4.4	Versicolor
7.3	5.7	3.0	Setosa
8.4	4.4	8.3	Versicolor
7.1	7.0	7.6	Versicolor
7.9	3.6	5.4	Virginica
5.5	4.3	7.3	Versicolor
8.2	7.3	4.8	Virginica
7.3	3.4	8.6	Virginica
10.9	2.8	6.1	Virginica
6.7	5.0	8.2	Virginica
7.9	6.7	10.2	Virginica
6.8	4.9	4.6	Setosa
7.9	5.7	7.3	Virginica
8.6	3.0	10.4	Virginica
8.3	2.6	4.0	Versicolor
10.5	6.2	6.2	Versicolor
6.3	8.5	4.7	Setosa
7.2	5.3	7.5	Versicolor
10.4	7.1	5.6	Virginica
9.5	3.2	5.0	Virginica
10.0	2.7	5.6	Versicolor
4.9	7.6	6.0	Setosa
6.3	3.0	9.0	Virginica
9.8	6.2	6.6	Versicolor
10.2	3.0	7.1	Virginica
11.2	5.1	9.2	Versicolor
9.1	2.6	10.1	Virginica
11.0	7.5	7.0	Virginica
9.7	4.5	8.3	Virginica
7.7	4.7	6.5	Versicolor
8.1	7.9	1.5	Setosa
5.6	3.1	5.0	Setosa
7.7	5.3	8.7	Virginica
4.5	2.3	2.3	Setosa
7.7	5.6	1.5	Setosa
9.5	3.2	1.2	Setosa
6.5	2.5	6.0	Versicolor
5.6	3.0	5.0	Versicolor
9.2	4.3	7.7	Virginica
6.7	3.0	7.0	Virginica
7.2	6.3	8.7	Virginica
7.6	3.9	4.4	Setosa
5.8	4.2	6.9	Versicolor
10.4	8.3	9.9	Virginica
10.2	6.4	5.0	Setosa
9.9	6.1	4.9	Versicolor
8.2	4.1	7.4	Virginica
8.2	3.7	1.8	Setosa
7.6	4.8	8.7	Versicolor
8.7	7.2	3.6	Setosa
5.3	7.6	5.6	Setosa
7.7	6.2	8.4	Versicolor
7.3	7.0	4.4	Setosa
