petal.width	variety
1.7	Setosa
5.8	Virginica
3.0	Virginica
5.5	Virginica
3.3	Versicolor
5.9	Versicolor
2.7	Setosa
4.0	Versicolor
3.7	Versicolor
3.4	Virginica
6.5	Virginica
3.3	Versicolor
3.4	Versicolor
0.7	Setosa
2.2	Setosa
1.7	Setosa
2.9	Setosa
4.6	Versicolor
1.7	Setosa
1.8	Virginica
6.5	Virginica
5.7	Virginica
3.3	Virginica
3.7	Setosa
1.9	Virginica
3.2	Virginica
2.2	Setosa
3.5	Virginica
3.8	Versicolor
6.2	Versicolor
4.1	Virginica
5.8	Virginica
4.7	Setosa
0.4	Setosa
0.1	Setosa
1.7	Setosa
3.8	Setosa
2.4	Setosa
6.2	Virginica
5.8	Versicolor
2.4	Virginica
2.8	Versicolor
6.3	Virginica
4.0	Versicolor
3.2	Setosa
5.3	Virginica
1.8	Setosa
1.3	Versicolor
0.7	Setosa
7.0	Virginica
4.3	Versicolor
5.5	Versicolor
3.1	Virginica
1.8	Versicolor
6.3	Virginica
4.5	Versicolor
4.3	Virginica
1.6	Versicolor
5.1	Virginica
5.8	Virginica
5.0	Virginica
0.2	Setosa
3.2	Versicolor
1.7	Setosa
3.0	Versicolor
6.0	Virginica
2.1	Versicolor
3.0	Virginica
1.7	Setosa
4.9	Virginica
0.7	Setosa
3.7	Versicolor
2.8	Versicolor
4.4	Virginica
2.1	Virginica
4.6	Setosa
5.2	Versicolor
0.3	Setosa
2.2	Setosa
1.9	Versicolor
3.3	Versicolor
1.5	Versicolor
3.7	Setosa
1.0	Versicolor
1.7	Setosa
2.4	Virginica
2.8	Virginica
3.2	Versicolor
2.4	Versicolor
1.5	Versicolor
4.0	Versicolor
5.5	Virginica
5.0	Versicolor
1.7	Setosa
2.6	Virginica
5.3	Virginica
4.2	Setosa
0.7	Setosa
4.1	Setosa
5.3	Virginica
3.0	Versicolor
0.9	Setosa
0.4	Setosa
0.4	Setosa
6.1	Versicolor
