sepal.width	petal.length	variety
5.3	1.7	Setosa
8.2	1.9	Setosa
3.9	6.6	Versicolor
2.8	6.1	Virginica
5.9	7.8	Versicolor
7.5	3.4	Setosa
3.8	3.8	Versicolor
6.3	3.1	Setosa
5.8	9.4	Virginica
6.5	5.1	Setosa
6.3	5.4	Setosa
5.0	9.3	Virginica
5.8	7.8	Virginica
7.5	6.6	Versicolor
3.2	4.4	Versicolor
4.2	5.0	Versicolor
5.8	3.0	Setosa
7.8	10.5	Virginica
3.0	4.0	Versicolor
2.7	5.0	Versicolor
3.9	6.0	Setosa
6.9	3.2	Setosa
4.0	3.9	Setosa
5.0	5.2	Virginica
6.2	6.0	Virginica
3.5	8.4	Virginica
7.5	1.1	Setosa
5.6	4.0	Setosa
6.9	6.9	Virginica
5.0	7.7	Versicolor
5.2	9.6	Versicolor
3.9	4.8	Versicolor
3.2	6.3	Versicolor
5.1	9.9	Virginica
5.4	5.3	Setosa
4.3	9.2	Versicolor
7.9	2.5	Setosa
4.3	8.6	Virginica
5.1	5.5	Setosa
7.6	5.9	Setosa
3.2	9.5	Virginica
3.9	6.6	Virginica
3.1	5.1	Setosa
6.3	8.6	Virginica
3.7	8.2	Versicolor
6.8	6.1	Versicolor
4.8	8.6	Versicolor
3.0	5.0	Virginica
4.4	4.5	Setosa
6.5	1.6	Setosa
4.0	4.5	Versicolor
5.7	7.9	Virginica
4.0	3.9	Setosa
5.7	5.7	Virginica
3.9	4.9	Setosa
2.5	6.4	Versicolor
7.1	8.9	Virginica
3.0	7.4	Versicolor
5.2	1.4	Setosa
5.0	6.5	Virginica
2.5	9.5	Virginica
3.0	5.0	Versicolor
2.4	7.2	Versicolor
4.8	9.2	Virginica
6.4	7.3	Versicolor
7.0	4.1	Versicolor
7.0	7.3	Virginica
5.7	4.3	Setosa
5.0	1.7	Setosa
7.7	3.0	Setosa
3.7	4.8	Setosa
4.0	4.5	Versicolor
5.6	5.6	Virginica
7.0	4.4	Versicolor
4.7	5.6	Setosa
5.9	2.7	Setosa
6.5	4.8	Virginica
6.2	5.0	Setosa
7.1	7.0	Versicolor
7.3	9.2	Virginica
6.8	5.4	Virginica
5.9	6.7	Versicolor
5.8	8.7	Virginica
6.8	1.3	Setosa
6.5	5.0	Versicolor
3.2	4.1	Versicolor
7.6	6.0	Setosa
4.8	5.2	Setosa
7.1	10.1	Virginica
4.6	5.2	Versicolor
2.9	8.2	Versicolor
4.4	5.6	Setosa
6.2	10.4	Virginica
5.1	7.6	Virginica
5.4	5.6	Setosa
7.6	4.5	Setosa
7.5	7.5	Versicolor
3.9	9.8	Virginica
7.0	6.2	Versicolor
5.5	8.1	Virginica
5.5	2.3	Setosa
2.7	7.6	Virginica
6.4	3.5	Setosa
7.2	7.7	Versicolor
5.5	6.2	Virginica
