sepal.length	variety
8.0	Setosa
9.7	Versicolor
5.2	Setosa
6.2	Setosa
7.4	Versicolor
6.3	Setosa
7.1	Versicolor
8.5	Virginica
8.5	Virginica
7.9	Virginica
5.9	Versicolor
7.7	Virginica
9.1	Versicolor
7.6	Setosa
7.8	Virginica
8.4	Setosa
6.1	Versicolor
12.2	Virginica
6.8	Virginica
5.9	Setosa
10.6	Versicolor
9.5	Versicolor
8.8	Setosa
8.7	Versicolor
8.3	Virginica
9.6	Versicolor
9.6	Setosa
9.7	Virginica
7.9	Versicolor
5.8	Virginica
8.1	Versicolor
8.4	Virginica
7.9	Virginica
5.0	Setosa
5.7	Setosa
6.3	Setosa
7.0	Setosa
10.3	Versicolor
7.1	Setosa
6.0	Versicolor
4.6	Setosa
8.6	Virginica
8.0	Versicolor
8.7	Versicolor
6.1	Setosa
6.7	Versicolor
10.2	Setosa
10.5	Versicolor
9.7	Versicolor
6.9	Setosa
10.4	Virginica
7.2	Virginica
8.3	Virginica
8.1	Virginica
7.3	Setosa
8.5	Setosa
5.9	Setosa
10.4	Virginica
7.7	Virginica
7.6	Versicolor
6.0	Setosa
9.3	Versicolor
6.7	Setosa
8.8	Setosa
10.9	Virginica
9.2	Virginica
6.7	Versicolor
7.4	Setosa
7.1	Setosa
8.3	Setosa
6.8	Virginica
6.8	Virginica
8.8	Setosa
6.0	Setosa
10.0	Versicolor
11.4	Virginica
6.9	Setosa
8.5	Virginica
10.4	Versicolor
8.1	Virginica
7.5	Versicolor
9.1	Versicolor
7.8	Virginica
6.6	Setosa
8.2	Virginica
9.7	Virginica
7.1	Setosa
8.9	Versicolor
10.4	Versicolor
10.7	Virginica
11.7	Virginica
5.5	Setosa
5.7	Setosa
10.1	Versicolor
7.0	Virginica
8.1	Versicolor
9.5	Setosa
7.2	Versicolor
8.9	Versicolor
9.6	Virginica
5.0	Setosa
10.2	Virginica
6.0	Setosa
6.9	Setosa
8.0	Versicolor
