petal.length	petal.width	variety
6.0	3.1	Virginica
5.7	2.7	Setosa
5.5	3.8	Versicolor
5.7	4.3	Virginica
4.3	4.8	Setosa
5.5	1.5	Versicolor
7.0	1.6	Versicolor
5.9	2.8	Versicolor
7.0	3.6	Versicolor
6.6	3.3	Versicolor
2.4	0.7	Setosa
4.0	4.8	Setosa
8.3	3.3	Versicolor
6.1	2.2	Setosa
3.8	3.0	Versicolor
6.1	2.0	Virginica
5.9	0.2	Setosa
9.8	5.2	Virginica
5.5	0.6	Setosa
2.5	3.7	Setosa
4.4	0.3	Setosa
8.5	5.2	Versicolor
4.8	4.7	Setosa
4.0	3.0	Versicolor
5.2	3.0	Virginica
4.9	3.2	Setosa
3.0	1.2	Setosa
7.1	2.9	Virginica
2.6	3.7	Setosa
7.1	3.9	Virginica
6.1	4.8	Versicolor
1.8	4.7	Setosa
7.0	3.0	Virginica
4.4	3.6	Setosa
5.0	2.4	Setosa
4.9	5.5	Versicolor
6.4	0.9	Setosa
6.4	3.9	Versicolor
8.7	4.2	Versicolor
3.2	0.7	Setosa
1.7	1.9	Setosa
6.1	5.0	Virginica
6.9	5.2	Versicolor
8.4	4.5	Versicolor
7.6	4.3	Versicolor
7.5	4.0	Versicolor
3.9	1.6	Setosa
6.3	2.8	Virginica
9.0	4.8	Virginica
5.1	4.9	Setosa
6.2	5.0	Setosa
5.5	1.6	Setosa
10.1	7.0	Virginica
4.7	5.0	Versicolor
5.4	4.2	Setosa
7.7	4.4	Versicolor
8.7	5.1	Virginica
9.1	2.3	Virginica
5.7	2.3	Versicolor
8.9	6.6	Virginica
8.0	5.0	Virginica
6.5	5.3	Virginica
11.4	3.3	Virginica
4.3	0.2	Setosa
6.9	5.0	Virginica
4.1	4.2	Setosa
4.9	0.3	Setosa
9.0	5.8	Virginica
3.1	1.6	Setosa
1.3	1.9	Setosa
5.9	3.8	Virginica
3.4	1.7	Setosa
2.9	2.8	Setosa
8.3	2.1	Virginica
5.3	2.4	Virginica
9.2	4.0	Virginica
6.3	6.3	Virginica
9.7	4.2	Virginica
9.3	5.8	Virginica
6.7	3.4	Versicolor
5.5	3.9	Setosa
6.6	5.4	Virginica
7.5	3.5	Versicolor
4.6	5.1	Setosa
6.7	1.5	Versicolor
7.4	1.2	Versicolor
7.6	5.1	Virginica
4.0	4.9	Setosa
10.1	6.7	Virginica
7.7	4.1	Versicolor
5.0	2.4	Virginica
2.0	1.2	Setosa
7.8	5.8	Virginica
5.4	4.8	Virginica
7.2	1.7	Versicolor
8.8	4.8	Virginica
5.8	2.7	Setosa
8.5	5.3	Versicolor
2.4	3.2	Setosa
5.8	4.0	Versicolor
4.8	3.9	Versicolor
8.5	2.2	Versicolor
1.7	0.3	Setosa
6.4	2.3	Virginica
6.0	2.5	Versicolor
