sepal.width	variety
7.3	Versicolor
3.0	Virginica
3.7	Versicolor
8.1	Setosa
7.3	Virginica
4.8	Versicolor
4.1	Setosa
3.9	Versicolor
7.2	Setosa
7.9	Setosa
6.4	Versicolor
4.2	Virginica
6.2	Versicolor
3.4	Setosa
4.5	Setosa
6.8	Setosa
5.8	Versicolor
5.9	Versicolor
3.4	Virginica
5.2	Versicolor
4.8	Virginica
7.4	Setosa
6.7	Setosa
6.0	Virginica
6.1	Setosa
4.6	Virginica
3.9	Setosa
6.8	Virginica
7.4	Versicolor
4.8	Versicolor
4.6	Virginica
6.3	Versicolor
4.3	Virginica
3.5	Versicolor
6.2	Versicolor
7.8	Setosa
2.7	Virginica
7.2	Virginica
5.4	Versicolor
7.7	Setosa
3.0	Versicolor
6.2	Versicolor
7.4	Setosa
3.0	Virginica
6.9	Versicolor
4.3	Versicolor
2.5	Versicolor
5.0	Virginica
5.5	Setosa
4.2	Virginica
4.5	Versicolor
5.7	Setosa
6.0	Versicolor
5.9	Setosa
6.0	Versicolor
6.4	Setosa
4.3	Virginica
7.0	Virginica
7.4	Versicolor
4.3	Virginica
3.5	Virginica
5.3	Virginica
7.4	Virginica
3.6	Setosa
5.7	Setosa
4.6	Setosa
3.3	Versicolor
3.0	Versicolor
3.4	Versicolor
5.8	Virginica
7.4	Setosa
5.3	Setosa
6.7	Setosa
7.6	Virginica
3.7	Versicolor
6.8	Versicolor
6.1	Versicolor
5.3	Virginica
7.7	Virginica
4.1	Virginica
4.5	Setosa
4.5	Setosa
6.2	Versicolor
4.5	Virginica
7.9	Setosa
5.8	Setosa
7.1	Virginica
3.0	Virginica
4.4	Setosa
5.8	Virginica
6.5	Virginica
4.5	Setosa
6.6	Versicolor
3.1	Versicolor
5.0	Setosa
6.1	Versicolor
3.7	Setosa
7.8	Setosa
6.5	Setosa
5.2	Virginica
6.3	Virginica
7.9	Virginica
3.7	Virginica
7.8	Setosa
6.7	Virginica
