petal.length	variety
9.1	Virginica
8.0	Virginica
5.0	Versicolor
6.0	Versicolor
7.1	Virginica
3.0	Setosa
6.0	Versicolor
2.4	Setosa
7.7	Virginica
6.2	Versicolor
6.4	Versicolor
6.4	Virginica
5.3	Setosa
2.9	Setosa
5.0	Setosa
4.7	Versicolor
5.9	Setosa
2.0	Setosa
2.9	Setosa
6.4	Versicolor
10.0	Virginica
9.2	Virginica
9.4	Virginica
7.6	Versicolor
5.2	Setosa
9.0	Virginica
5.4	Setosa
2.9	Setosa
1.7	Setosa
6.1	Versicolor
6.8	Virginica
6.0	Versicolor
8.0	Virginica
5.7	Versicolor
8.5	Versicolor
4.0	Setosa
7.0	Versicolor
4.0	Setosa
5.4	Setosa
7.5	Versicolor
5.6	Versicolor
4.4	Versicolor
4.8	Versicolor
5.6	Setosa
3.9	Setosa
8.4	Versicolor
5.1	Versicolor
8.2	Versicolor
4.0	Setosa
4.9	Virginica
1.7	Setosa
7.3	Versicolor
9.6	Virginica
1.6	Setosa
3.0	Setosa
9.1	Versicolor
5.1	Virginica
6.1	Versicolor
4.2	Setosa
6.1	Setosa
5.0	Versicolor
2.8	Setosa
3.6	Setosa
2.8	Setosa
3.0	Setosa
8.6	Virginica
5.8	Setosa
4.5	Versicolor
6.1	Virginica
4.9	Setosa
4.5	Setosa
7.7	Versicolor
9.9	Virginica
3.4	Setosa
7.3	Versicolor
5.2	Virginica
9.3	Versicolor
2.1	Setosa
7.3	Versicolor
1.9	Setosa
5.5	Setosa
8.0	Virginica
8.0	Versicolor
3.3	Setosa
4.5	Versicolor
5.4	Versicolor
8.0	Virginica
6.5	Versicolor
7.0	Versicolor
8.0	Virginica
6.1	Virginica
4.9	Virginica
6.0	Versicolor
10.1	Virginica
1.5	Setosa
6.0	Setosa
10.6	Virginica
1.5	Setosa
6.6	Virginica
1.3	Setosa
5.8	Virginica
9.2	Versicolor
10.9	Virginica
6.8	Versicolor
6.2	Versicolor
