petal.length	variety
6.4	Virginica
5.7	Virginica
3.4	Setosa
8.6	Virginica
4.5	Setosa
8.9	Versicolor
5.0	Setosa
6.5	Versicolor
6.6	Virginica
5.8	Virginica
10.0	Virginica
7.5	Versicolor
4.6	Versicolor
7.6	Virginica
8.9	Versicolor
3.4	Setosa
6.0	Versicolor
8.7	Virginica
4.4	Versicolor
6.1	Setosa
6.0	Versicolor
8.6	Virginica
6.2	Setosa
4.5	Setosa
2.0	Setosa
5.0	Versicolor
1.9	Setosa
2.5	Setosa
8.2	Versicolor
7.3	Virginica
3.5	Setosa
7.6	Versicolor
8.5	Versicolor
6.3	Versicolor
4.9	Setosa
6.9	Versicolor
3.1	Setosa
8.9	Virginica
8.6	Versicolor
3.8	Versicolor
5.8	Setosa
7.9	Versicolor
8.5	Virginica
6.2	Virginica
2.9	Setosa
5.0	Versicolor
5.6	Virginica
5.6	Setosa
2.0	Setosa
2.3	Setosa
5.1	Virginica
2.4	Setosa
4.6	Setosa
6.1	Setosa
3.4	Setosa
9.7	Virginica
7.1	Virginica
9.4	Virginica
6.6	Versicolor
7.7	Virginica
7.5	Virginica
3.9	Setosa
5.8	Setosa
2.9	Setosa
5.7	Versicolor
7.3	Versicolor
2.3	Setosa
5.4	Setosa
6.6	Versicolor
7.5	Virginica
10.0	Virginica
5.0	Setosa
7.7	Versicolor
6.2	Versicolor
7.0	Versicolor
5.7	Setosa
5.7	Versicolor
6.6	Virginica
7.4	Virginica
9.6	Virginica
3.8	Setosa
7.5	Virginica
5.3	Virginica
1.3	Setosa
7.9	Versicolor
6.2	Setosa
7.0	Versicolor
8.0	Versicolor
4.2	Setosa
1.9	Setosa
8.7	Versicolor
5.3	Versicolor
10.0	Virginica
7.4	Versicolor
6.6	Versicolor
3.8	Versicolor
9.6	Virginica
8.8	Versicolor
6.8	Virginica
5.0	Setosa
8.5	Virginica
10.4	Virginica
6.7	Versicolor
6.6	Versicolor
1.5	Setosa
