sepal.length	variety
10.3	Virginica
7.8	Virginica
6.5	Setosa
10.5	Virginica
9.7	Virginica
10.0	Setosa
8.5	Versicolor
9.9	Setosa
6.1	Versicolor
8.2	Virginica
7.0	Versicolor
10.4	Virginica
8.9	Virginica
7.9	Virginica
10.0	Versicolor
4.9	Setosa
5.5	Setosa
8.5	Setosa
5.7	Virginica
6.5	Versicolor
8.9	Virginica
7.4	Virginica
8.2	Versicolor
6.4	Versicolor
6.3	Virginica
7.1	Versicolor
7.1	Versicolor
11.7	Virginica
7.3	Virginica
10.3	Virginica
9.2	Versicolor
9.8	Versicolor
5.3	Setosa
7.8	Versicolor
11.2	Virginica
7.1	Versicolor
8.9	Virginica
10.2	Virginica
7.2	Virginica
9.1	Virginica
8.2	Virginica
4.4	Setosa
7.7	Versicolor
5.6	Setosa
5.9	Setosa
8.7	Setosa
8.8	Versicolor
6.1	Virginica
5.9	Setosa
7.3	Virginica
7.6	Versicolor
8.9	Setosa
11.4	Versicolor
5.8	Setosa
9.4	Virginica
8.3	Versicolor
10.3	Virginica
10.7	Versicolor
9.6	Virginica
6.7	Setosa
7.3	Setosa
6.5	Versicolor
5.9	Setosa
7.1	Setosa
9.1	Setosa
8.1	Setosa
9.9	Versicolor
10.1	Versicolor
8.2	Setosa
11.1	Versicolor
6.2	Setosa
11.2	Virginica
6.0	Virginica
9.2	Virginica
6.0	Setosa
6.8	Virginica
6.5	Versicolor
10.7	Virginica
7.1	Versicolor
7.7	Setosa
8.8	Setosa
6.7	Versicolor
7.6	Virginica
7.7	Setosa
7.3	Setosa
9.0	Virginica
8.9	Virginica
7.8	Virginica
6.5	Versicolor
7.9	Setosa
5.6	Setosa
7.7	Versicolor
9.5	Virginica
6.8	Virginica
8.4	Versicolor
6.7	Versicolor
6.9	Versicolor
10.9	Virginica
6.9	Virginica
9.7	Versicolor
7.7	Virginica
9.1	Setosa
8.2	Versicolor
9.1	Setosa
5.6	Setosa
