sepal.length	variety
9.1	Versicolor
9.7	Versicolor
7.1	Setosa
5.8	Setosa
5.6	Setosa
10.4	Virginica
9.2	Versicolor
6.2	Setosa
6.4	Virginica
7.5	Versicolor
10.9	Virginica
7.3	Versicolor
7.8	Virginica
10.0	Versicolor
6.7	Setosa
8.5	Versicolor
7.9	Virginica
10.1	Versicolor
8.9	Versicolor
10.5	Versicolor
5.4	Setosa
11.7	Virginica
8.1	Virginica
5.5	Versicolor
10.4	Virginica
7.8	Setosa
6.3	Setosa
8.2	Virginica
7.0	Setosa
9.8	Versicolor
6.7	Versicolor
9.1	Versicolor
7.5	Setosa
8.7	Versicolor
8.2	Virginica
8.8	Setosa
6.1	Versicolor
8.8	Setosa
7.3	Versicolor
7.0	Versicolor
10.1	Versicolor
10.1	Virginica
9.6	Setosa
10.9	Versicolor
5.9	Setosa
5.6	Setosa
9.2	Setosa
10.3	Virginica
10.3	Versicolor
7.4	Virginica
8.9	Versicolor
9.5	Virginica
7.4	Setosa
7.8	Setosa
11.6	Virginica
8.9	Versicolor
9.5	Setosa
6.1	Virginica
10.2	Versicolor
9.5	Setosa
9.0	Setosa
6.6	Versicolor
7.0	Setosa
10.2	Virginica
6.0	Setosa
12.2	Virginica
6.9	Setosa
11.0	Virginica
9.1	Versicolor
7.7	Setosa
7.4	Setosa
10.3	Virginica
7.7	Versicolor
10.0	Versicolor
7.9	Versicolor
9.5	Versicolor
8.1	Setosa
10.9	Versicolor
5.5	Setosa
8.3	Virginica
7.6	Setosa
10.5	Virginica
8.7	Setosa
5.8	Virginica
6.9	Versicolor
6.1	Versicolor
9.4	Virginica
6.9	Virginica
7.7	Versicolor
9.9	Virginica
8.5	Virginica
6.7	Virginica
8.2	Versicolor
8.8	Versicolor
10.7	Virginica
7.3	Virginica
7.3	Versicolor
9.4	Virginica
5.5	Setosa
6.0	Versicolor
8.1	Setosa
8.1	Setosa
10.0	Virginica
7.5	Versicolor
7.7	Virginica
