sepal.width	variety
4.8	Setosa
7.5	Virginica
7.4	Setosa
4.7	Virginica
6.8	Virginica
6.6	Virginica
5.4	Versicolor
5.4	Versicolor
4.9	Versicolor
5.0	Setosa
3.3	Versicolor
2.5	Versicolor
6.4	Setosa
5.7	Virginica
5.6	Virginica
3.7	Virginica
3.2	Versicolor
6.0	Virginica
5.4	Setosa
6.2	Virginica
6.6	Setosa
3.5	Setosa
5.9	Versicolor
5.0	Setosa
8.4	Setosa
7.4	Setosa
3.2	Versicolor
7.6	Versicolor
5.0	Setosa
6.5	Setosa
3.0	Virginica
7.4	Virginica
6.3	Setosa
3.4	Setosa
6.8	Virginica
3.4	Versicolor
2.9	Versicolor
5.5	Versicolor
4.0	Virginica
7.5	Setosa
2.9	Versicolor
6.3	Versicolor
5.1	Virginica
7.4	Virginica
2.8	Versicolor
5.3	Virginica
6.7	Versicolor
6.5	Versicolor
7.0	Virginica
3.5	Virginica
5.0	Setosa
7.0	Versicolor
4.2	Virginica
7.3	Virginica
4.1	Versicolor
4.5	Versicolor
3.3	Virginica
6.3	Virginica
5.5	Versicolor
3.0	Versicolor
4.8	Virginica
4.4	Versicolor
2.5	Virginica
5.6	Versicolor
5.3	Versicolor
3.0	Versicolor
7.6	Setosa
6.7	Setosa
3.5	Versicolor
3.2	Versicolor
4.7	Virginica
4.5	Setosa
4.7	Virginica
3.0	Versicolor
4.5	Setosa
5.7	Virginica
5.9	Setosa
4.4	Setosa
3.0	Setosa
5.3	Setosa
4.6	Setosa
4.2	Setosa
8.0	Setosa
6.1	Virginica
7.9	Versicolor
6.7	Versicolor
4.9	Setosa
4.9	Setosa
7.7	Versicolor
4.1	Virginica
6.6	Versicolor
7.7	Setosa
5.3	Versicolor
6.6	Setosa
6.2	Setosa
7.0	Virginica
7.0	Virginica
5.2	Virginica
6.5	Versicolor
4.2	Setosa
4.1	Setosa
4.5	Virginica
6.2	Versicolor
7.8	Setosa
7.6	Setosa
