sepal.width	variety
2.5	Versicolor
5.3	Setosa
3.0	Versicolor
4.6	Virginica
5.0	Setosa
4.9	Virginica
4.6	Virginica
5.4	Versicolor
4.4	Setosa
3.5	Setosa
3.5	Setosa
6.3	Setosa
5.1	Virginica
5.5	Virginica
6.0	Setosa
3.5	Virginica
3.3	Versicolor
5.1	Setosa
3.7	Virginica
5.0	Versicolor
5.3	Virginica
5.1	Virginica
4.2	Virginica
4.5	Virginica
6.8	Setosa
3.6	Virginica
4.0	Setosa
5.8	Setosa
3.5	Setosa
4.3	Virginica
6.4	Virginica
7.0	Setosa
6.4	Setosa
3.2	Versicolor
6.4	Setosa
2.7	Versicolor
7.3	Versicolor
4.2	Virginica
6.7	Setosa
5.8	Virginica
6.7	Virginica
7.5	Versicolor
5.7	Versicolor
6.2	Setosa
3.8	Versicolor
5.5	Virginica
6.4	Versicolor
4.6	Versicolor
7.2	Versicolor
4.6	Virginica
4.5	Setosa
5.0	Virginica
6.4	Versicolor
4.0	Versicolor
4.0	Virginica
7.2	Virginica
5.4	Setosa
5.5	Virginica
6.6	Setosa
5.3	Versicolor
4.1	Versicolor
5.0	Virginica
7.2	Setosa
4.8	Versicolor
4.6	Versicolor
5.7	Setosa
6.0	Versicolor
6.3	Setosa
6.7	Virginica
5.5	Versicolor
5.6	Setosa
6.4	Setosa
4.9	Setosa
3.3	Virginica
6.0	Versicolor
6.0	Setosa
4.0	Versicolor
2.9	Versicolor
5.4	Setosa
6.4	Setosa
6.8	Versicolor
3.5	Virginica
4.8	Virginica
7.8	Virginica
8.1	Virginica
4.4	Setosa
6.4	Versicolor
7.8	Setosa
7.7	Versicolor
5.7	Versicolor
4.7	Virginica
6.5	Virginica
5.4	Versicolor
7.4	Setosa
4.0	Virginica
4.7	Versicolor
5.5	Setosa
3.1	Setosa
4.9	Versicolor
3.1	Setosa
6.1	Versicolor
4.5	Setosa
6.0	Virginica
7.4	Versicolor
3.3	Virginica
