sepal.length	variety
10.0	Setosa
7.2	Virginica
6.2	Versicolor
11.2	Virginica
7.8	Virginica
5.1	Setosa
6.9	Setosa
8.8	Setosa
12.2	Virginica
8.9	Virginica
9.1	Versicolor
10.3	Virginica
7.4	Setosa
8.9	Virginica
4.6	Setosa
6.2	Versicolor
8.9	Versicolor
10.7	Versicolor
6.4	Versicolor
8.2	Virginica
7.2	Setosa
7.6	Versicolor
6.5	Versicolor
6.3	Setosa
6.7	Virginica
6.9	Virginica
10.6	Virginica
7.0	Versicolor
7.8	Setosa
5.2	Setosa
11.4	Versicolor
5.6	Versicolor
9.8	Versicolor
5.9	Setosa
6.7	Versicolor
9.7	Virginica
8.5	Setosa
11.7	Virginica
5.4	Setosa
11.2	Virginica
8.7	Virginica
9.5	Setosa
8.8	Setosa
6.3	Versicolor
6.6	Setosa
7.4	Virginica
9.6	Setosa
7.7	Versicolor
9.6	Versicolor
9.4	Virginica
10.5	Virginica
7.1	Setosa
8.6	Versicolor
9.4	Versicolor
10.5	Versicolor
6.5	Setosa
9.4	Versicolor
7.7	Versicolor
6.2	Virginica
8.4	Setosa
9.8	Virginica
6.7	Versicolor
8.2	Virginica
6.8	Virginica
7.1	Versicolor
8.7	Virginica
9.8	Virginica
5.2	Setosa
9.4	Virginica
10.6	Virginica
6.7	Setosa
9.6	Versicolor
7.2	Virginica
5.4	Setosa
6.4	Virginica
6.6	Setosa
9.3	Versicolor
7.5	Setosa
7.3	Versicolor
11.0	Virginica
6.3	Setosa
5.0	Setosa
10.1	Versicolor
7.4	Virginica
5.8	Setosa
9.0	Versicolor
11.6	Virginica
8.3	Virginica
8.1	Setosa
8.0	Setosa
11.2	Virginica
5.7	Setosa
8.6	Virginica
8.9	Virginica
8.0	Setosa
7.3	Virginica
9.6	Versicolor
10.1	Versicolor
8.9	Setosa
7.7	Versicolor
7.8	Virginica
9.7	Versicolor
6.1	Setosa
9.1	Setosa
8.0	Versicolor
