sepal.width	petal.length	variety
6.4	5.9	Setosa
6.3	6.4	Virginica
4.7	4.9	Versicolor
5.6	4.9	Setosa
3.5	8.5	Versicolor
3.3	4.1	Versicolor
3.0	7.1	Versicolor
3.1	10.9	Virginica
3.3	4.8	Setosa
3.5	1.4	Setosa
7.5	6.9	Virginica
5.2	2.2	Setosa
4.3	5.7	Setosa
3.8	5.1	Virginica
7.5	1.9	Setosa
4.2	4.5	Versicolor
3.7	8.3	Virginica
6.0	6.0	Versicolor
8.0	2.9	Setosa
5.5	10.3	Virginica
6.4	7.8	Versicolor
3.7	6.0	Virginica
7.1	5.6	Virginica
5.0	4.2	Versicolor
3.5	6.9	Versicolor
4.7	4.5	Versicolor
7.7	9.1	Virginica
5.1	7.9	Virginica
4.9	8.1	Versicolor
3.7	3.0	Setosa
6.7	3.6	Setosa
3.4	2.4	Setosa
5.8	3.5	Setosa
3.1	5.1	Setosa
3.1	6.0	Versicolor
7.5	3.9	Setosa
4.7	7.2	Versicolor
7.6	7.6	Virginica
7.4	6.6	Virginica
5.2	5.4	Virginica
8.4	4.0	Setosa
7.2	5.3	Versicolor
6.8	10.7	Virginica
3.5	9.7	Virginica
7.9	2.9	Setosa
3.0	7.1	Versicolor
4.9	6.1	Versicolor
6.1	4.5	Setosa
4.5	8.6	Virginica
6.9	8.7	Versicolor
4.1	4.5	Setosa
6.0	7.3	Virginica
5.0	5.6	Setosa
4.3	8.1	Versicolor
6.3	5.7	Virginica
6.5	9.0	Virginica
4.6	5.4	Setosa
3.8	1.9	Setosa
2.5	7.9	Versicolor
6.2	8.6	Versicolor
3.6	5.5	Versicolor
5.2	4.5	Setosa
4.7	3.3	Setosa
5.3	3.7	Setosa
3.0	5.3	Setosa
5.8	3.4	Setosa
3.5	5.2	Virginica
4.2	8.8	Virginica
3.0	6.9	Virginica
2.7	9.6	Versicolor
7.6	4.4	Versicolor
3.6	8.6	Virginica
4.4	9.8	Virginica
6.9	5.6	Virginica
3.5	7.0	Virginica
3.8	5.7	Versicolor
4.2	7.6	Virginica
5.6	10.6	Virginica
4.5	7.3	Virginica
4.9	5.6	Setosa
5.0	4.0	Versicolor
2.9	6.3	Versicolor
5.0	6.3	Virginica
5.5	5.1	Setosa
3.9	6.7	Versicolor
5.7	9.5	Virginica
7.9	5.0	Setosa
4.5	4.0	Versicolor
3.3	7.6	Virginica
8.2	1.5	Setosa
5.3	6.9	Versicolor
6.7	8.0	Versicolor
4.9	4.6	Setosa
5.8	3.1	Setosa
6.8	6.0	Virginica
5.2	8.4	Versicolor
6.3	8.2	Virginica
5.4	3.7	Setosa
5.3	5.6	Virginica
3.3	7.2	Virginica
3.9	7.2	Versicolor
4.0	1.6	Setosa
7.5	4.4	Setosa
4.2	7.7	Versicolor
6.4	6.3	Versicolor
