sepal.width	variety
3.3	Versicolor
6.2	Versicolor
4.2	Setosa
3.0	Versicolor
5.7	Virginica
7.2	Setosa
4.7	Virginica
5.3	Versicolor
6.9	Versicolor
5.4	Setosa
2.7	Virginica
2.9	Versicolor
4.5	Setosa
6.4	Setosa
4.0	Virginica
5.0	Virginica
5.5	Versicolor
5.2	Versicolor
4.5	Virginica
4.3	Versicolor
7.1	Virginica
3.5	Versicolor
7.3	Setosa
4.4	Virginica
5.4	Setosa
6.7	Versicolor
6.3	Versicolor
5.4	Setosa
6.5	Virginica
4.7	Virginica
5.3	Versicolor
7.9	Versicolor
4.2	Setosa
3.4	Versicolor
5.3	Virginica
5.0	Virginica
5.5	Versicolor
4.2	Virginica
4.8	Virginica
2.9	Versicolor
4.5	Setosa
2.5	Virginica
4.8	Versicolor
3.5	Setosa
5.5	Versicolor
3.4	Versicolor
7.9	Setosa
6.8	Setosa
7.6	Setosa
5.0	Versicolor
7.0	Versicolor
3.0	Virginica
6.9	Setosa
4.8	Virginica
3.5	Virginica
3.7	Virginica
6.6	Setosa
6.5	Versicolor
4.6	Virginica
4.5	Setosa
8.5	Setosa
5.6	Setosa
4.0	Virginica
6.8	Virginica
6.0	Virginica
5.8	Virginica
2.2	Versicolor
7.8	Setosa
4.2	Versicolor
5.3	Setosa
3.1	Setosa
5.5	Virginica
7.6	Virginica
4.8	Virginica
7.1	Versicolor
7.4	Setosa
6.6	Virginica
7.2	Versicolor
6.0	Virginica
7.6	Setosa
6.8	Virginica
3.8	Virginica
7.7	Virginica
7.0	Setosa
4.1	Virginica
3.0	Versicolor
3.2	Virginica
6.9	Setosa
7.0	Setosa
4.5	Versicolor
7.2	Setosa
3.0	Versicolor
6.5	Setosa
5.2	Versicolor
4.9	Virginica
2.6	Versicolor
4.3	Setosa
6.8	Versicolor
4.2	Virginica
3.0	Virginica
3.8	Virginica
7.4	Versicolor
3.1	Versicolor
5.2	Setosa
5.8	Virginica
