petal.width	variety
2.4	Setosa
2.3	Virginica
3.8	Versicolor
3.9	Versicolor
3.7	Setosa
5.3	Versicolor
2.2	Setosa
2.2	Setosa
4.5	Virginica
2.4	Versicolor
5.4	Virginica
2.3	Setosa
2.6	Versicolor
3.7	Virginica
4.3	Virginica
6.0	Virginica
2.2	Setosa
2.2	Versicolor
1.4	Setosa
2.1	Setosa
2.8	Setosa
5.3	Virginica
7.0	Virginica
1.9	Versicolor
1.5	Versicolor
3.2	Setosa
3.3	Virginica
5.0	Virginica
2.7	Setosa
4.0	Versicolor
4.8	Virginica
3.8	Versicolor
3.3	Versicolor
3.5	Versicolor
3.7	Versicolor
0.2	Setosa
3.5	Virginica
5.4	Versicolor
3.7	Setosa
2.2	Setosa
2.6	Virginica
0.1	Setosa
1.5	Setosa
2.0	Versicolor
1.9	Setosa
4.1	Virginica
3.7	Virginica
0.8	Setosa
2.2	Virginica
3.5	Versicolor
3.3	Setosa
1.6	Versicolor
0.1	Setosa
2.8	Virginica
2.8	Virginica
4.6	Versicolor
4.2	Setosa
4.8	Versicolor
4.0	Versicolor
4.8	Virginica
1.4	Setosa
6.0	Virginica
4.3	Virginica
3.8	Virginica
2.7	Setosa
5.5	Versicolor
1.2	Versicolor
4.1	Virginica
4.0	Versicolor
3.3	Versicolor
4.1	Versicolor
6.0	Versicolor
0.2	Setosa
3.3	Virginica
1.9	Versicolor
5.3	Versicolor
2.8	Versicolor
4.8	Versicolor
2.3	Versicolor
3.2	Setosa
3.7	Setosa
3.0	Versicolor
0.1	Setosa
5.5	Virginica
3.8	Versicolor
6.8	Virginica
0.7	Setosa
0.9	Setosa
1.2	Setosa
2.4	Virginica
3.4	Versicolor
5.5	Virginica
2.8	Setosa
1.2	Setosa
6.6	Virginica
3.9	Virginica
2.9	Virginica
4.7	Setosa
1.9	Virginica
3.5	Virginica
6.4	Virginica
4.2	Setosa
3.4	Setosa
6.3	Virginica
4.8	Versicolor
