sepal.width	petal.length	petal.width	variety
4.2	4.0	4.7	Setosa
3.8	8.6	5.4	Virginica
6.0	4.9	3.8	Virginica
5.4	6.2	3.8	Versicolor
4.5	6.0	2.8	Virginica
4.7	7.4	2.3	Virginica
3.9	1.8	0.4	Setosa
7.3	7.6	2.5	Virginica
6.5	5.1	5.8	Versicolor
7.0	4.7	2.2	Setosa
4.0	6.5	5.7	Virginica
4.2	5.6	3.2	Setosa
4.0	7.0	2.6	Versicolor
2.9	6.1	3.8	Versicolor
3.9	9.8	2.3	Virginica
6.0	5.8	0.7	Setosa
7.1	2.0	3.2	Setosa
4.4	4.9	1.7	Setosa
6.1	10.0	2.3	Virginica
4.3	4.2	4.3	Setosa
6.7	8.6	2.6	Versicolor
5.8	6.6	6.7	Virginica
2.9	7.8	3.1	Versicolor
5.5	5.0	0.2	Setosa
7.2	4.5	4.9	Setosa
5.2	3.4	3.7	Setosa
7.7	5.1	6.0	Virginica
5.0	2.1	1.1	Setosa
6.0	5.2	6.3	Virginica
4.1	7.4	4.2	Versicolor
7.8	7.7	3.6	Versicolor
3.5	7.8	1.6	Virginica
5.0	8.7	2.0	Versicolor
5.3	6.3	4.9	Versicolor
7.4	1.6	3.2	Setosa
3.1	7.4	3.5	Versicolor
7.0	4.4	3.7	Setosa
7.3	9.6	6.4	Virginica
6.5	6.2	2.7	Versicolor
8.0	2.8	2.3	Setosa
6.8	9.0	5.8	Versicolor
4.8	6.0	2.8	Versicolor
5.9	7.6	4.8	Virginica
7.1	8.6	3.9	Virginica
5.2	4.7	1.3	Versicolor
7.5	2.4	4.3	Setosa
2.9	4.4	1.7	Setosa
6.5	7.5	4.0	Versicolor
6.4	9.1	6.4	Virginica
6.4	6.8	3.8	Versicolor
7.0	7.0	4.0	Versicolor
3.8	5.8	2.8	Virginica
4.9	5.5	3.4	Setosa
2.8	8.0	4.3	Versicolor
3.7	5.0	2.0	Versicolor
4.6	1.4	3.7	Setosa
5.0	8.3	3.2	Virginica
6.3	7.7	4.6	Virginica
6.2	5.9	2.2	Setosa
5.3	7.9	3.0	Virginica
7.8	10.2	4.5	Virginica
7.0	1.4	3.7	Setosa
2.3	5.8	5.5	Versicolor
7.6	5.0	4.6	Setosa
2.5	8.3	6.3	Virginica
3.7	1.7	0.2	Setosa
5.5	7.2	4.0	Virginica
4.0	9.1	1.4	Versicolor
4.7	8.4	3.9	Versicolor
5.0	1.9	0.6	Setosa
6.9	6.3	2.5	Versicolor
4.8	5.1	0.7	Setosa
5.0	4.4	2.1	Versicolor
5.1	5.5	3.7	Versicolor
4.6	8.4	3.6	Virginica
4.9	2.9	2.7	Setosa
6.2	5.9	6.8	Virginica
7.0	3.8	3.2	Setosa
3.9	7.7	4.0	Versicolor
6.4	7.9	2.8	Virginica
3.0	4.4	2.4	Versicolor
4.9	5.6	0.4	Setosa
3.6	8.4	5.8	Virginica
4.0	7.5	2.5	Versicolor
7.7	7.2	4.4	Versicolor
6.2	9.0	4.5	Versicolor
3.0	5.5	2.4	Virginica
4.8	5.6	3.8	Versicolor
5.0	6.6	4.6	Virginica
7.6	3.5	0.1	Setosa
4.5	5.0	5.0	Virginica
7.7	8.8	4.3	Virginica
6.8	7.1	6.1	Virginica
5.4	5.0	2.9	Setosa
3.7	6.6	3.0	Versicolor
6.0	6.5	6.1	Virginica
6.5	4.6	0.7	Setosa
6.8	4.7	4.7	Versicolor
5.4	5.5	1.2	Setosa
4.3	4.2	0.5	Setosa
4.9	7.7	3.4	Versicolor
3.2	9.6	1.9	Virginica
3.1	8.4	3.4	Versicolor
3.7	6.7	5.8	Virginica
2.2	4.5	3.0	Versicolor
