petal.width	variety
2.0	Versicolor
4.2	Setosa
5.3	Versicolor
6.3	Virginica
5.0	Versicolor
1.7	Setosa
4.5	Versicolor
5.7	Versicolor
4.8	Versicolor
0.2	Setosa
1.7	Versicolor
2.2	Setosa
2.8	Virginica
1.9	Setosa
3.1	Setosa
5.1	Setosa
6.3	Virginica
1.7	Setosa
1.4	Versicolor
4.5	Versicolor
2.2	Virginica
2.8	Versicolor
5.1	Virginica
6.5	Virginica
2.2	Setosa
4.2	Setosa
5.3	Virginica
4.4	Virginica
3.9	Virginica
4.0	Virginica
5.3	Versicolor
1.7	Setosa
1.8	Virginica
1.7	Versicolor
5.4	Virginica
2.7	Setosa
3.5	Virginica
1.2	Setosa
1.5	Versicolor
1.5	Versicolor
1.3	Versicolor
2.0	Virginica
4.4	Virginica
4.4	Virginica
0.3	Setosa
3.2	Virginica
2.8	Versicolor
0.2	Setosa
2.8	Virginica
6.3	Virginica
4.1	Setosa
5.3	Virginica
3.1	Setosa
2.5	Virginica
3.5	Virginica
2.8	Setosa
2.4	Virginica
1.8	Virginica
5.9	Versicolor
4.2	Setosa
2.6	Virginica
1.7	Setosa
3.5	Versicolor
5.0	Versicolor
4.7	Setosa
3.7	Setosa
1.9	Setosa
6.5	Virginica
3.7	Setosa
4.9	Setosa
6.0	Versicolor
0.9	Setosa
4.8	Virginica
4.2	Setosa
3.2	Virginica
4.7	Versicolor
4.8	Virginica
2.8	Versicolor
3.7	Virginica
1.8	Versicolor
2.7	Setosa
4.8	Setosa
0.7	Setosa
4.0	Versicolor
5.6	Virginica
2.8	Versicolor
2.4	Virginica
3.1	Versicolor
2.6	Virginica
5.4	Virginica
1.4	Versicolor
6.0	Versicolor
3.7	Setosa
3.6	Versicolor
5.0	Versicolor
4.5	Versicolor
0.7	Setosa
0.5	Setosa
1.7	Setosa
5.0	Virginica
4.9	Versicolor
3.3	Virginica
0.3	Setosa
4.6	Versicolor
2.9	Versicolor
