sepal.length	sepal.width	petal.length	variety
8.9	7.9	5.2	Setosa
9.7	7.9	7.4	Virginica
6.5	4.5	5.5	Versicolor
9.0	3.0	5.3	Virginica
9.0	5.7	4.9	Setosa
6.3	5.5	3.4	Setosa
8.1	6.5	6.4	Versicolor
9.4	4.5	5.0	Virginica
5.4	4.7	1.5	Setosa
8.9	6.8	7.9	Virginica
11.2	7.5	9.6	Virginica
8.3	3.7	4.9	Virginica
10.6	6.3	5.5	Versicolor
7.7	6.3	5.8	Virginica
5.6	7.8	4.5	Setosa
6.5	4.2	1.7	Setosa
7.3	3.5	5.4	Setosa
6.5	5.0	3.8	Setosa
8.4	2.9	3.4	Setosa
9.0	2.8	7.3	Versicolor
8.8	4.9	9.6	Virginica
8.5	5.3	3.9	Setosa
10.4	5.6	7.4	Virginica
6.4	5.4	4.3	Versicolor
10.7	5.3	10.2	Virginica
7.2	3.6	4.0	Versicolor
9.0	3.2	4.7	Versicolor
6.2	4.4	6.8	Versicolor
4.7	5.7	3.1	Setosa
6.5	4.9	1.5	Setosa
5.7	5.5	5.7	Versicolor
7.0	4.9	8.2	Versicolor
6.9	5.1	9.1	Virginica
5.4	5.1	2.5	Setosa
7.7	6.6	2.5	Setosa
6.4	2.9	5.8	Versicolor
9.7	3.3	5.0	Versicolor
7.2	5.9	1.5	Setosa
9.4	5.2	7.8	Versicolor
6.8	7.3	9.6	Virginica
7.7	4.0	6.3	Virginica
10.1	7.0	7.1	Virginica
8.9	7.5	2.8	Setosa
4.8	6.6	4.6	Setosa
7.5	3.2	7.5	Versicolor
7.2	3.4	2.4	Setosa
10.6	7.4	5.1	Versicolor
8.1	3.4	2.9	Setosa
7.1	5.0	4.9	Versicolor
9.5	5.1	3.9	Setosa
9.4	5.2	5.8	Virginica
9.0	6.0	9.0	Virginica
7.5	3.4	4.5	Versicolor
8.2	7.1	7.1	Virginica
8.7	6.3	6.1	Versicolor
10.8	6.0	8.9	Versicolor
11.9	6.3	10.1	Virginica
6.0	8.0	4.6	Setosa
10.3	6.2	4.1	Versicolor
8.6	5.5	4.9	Setosa
9.2	3.2	7.4	Versicolor
9.4	5.7	5.8	Virginica
10.2	3.7	9.5	Virginica
8.7	3.6	6.2	Versicolor
8.3	4.3	9.5	Virginica
7.6	4.9	7.1	Versicolor
8.3	4.5	7.5	Virginica
7.4	5.1	2.9	Setosa
9.3	5.0	4.2	Setosa
9.9	5.3	7.6	Virginica
6.9	4.9	4.7	Setosa
7.7	3.1	5.4	Versicolor
7.7	5.0	9.7	Virginica
11.1	5.5	9.9	Virginica
6.9	5.1	6.0	Setosa
10.3	3.7	7.6	Virginica
11.4	4.1	8.4	Versicolor
9.8	5.8	9.2	Versicolor
9.7	6.3	8.7	Virginica
9.0	6.6	5.9	Versicolor
6.6	2.9	6.2	Versicolor
10.5	7.2	9.6	Versicolor
9.8	7.9	6.6	Virginica
9.1	6.5	8.4	Virginica
8.3	5.2	2.0	Setosa
9.7	5.0	8.0	Versicolor
8.2	5.1	7.1	Virginica
10.2	7.0	10.3	Virginica
7.4	6.7	7.2	Virginica
6.1	5.6	7.6	Virginica
10.1	3.0	6.6	Versicolor
6.6	2.5	7.0	Versicolor
6.4	8.4	1.3	Setosa
10.3	4.3	6.8	Versicolor
5.5	4.8	2.8	Setosa
9.3	6.4	6.3	Virginica
10.2	2.5	9.5	Virginica
6.0	3.5	8.5	Versicolor
9.1	7.1	2.0	Setosa
7.3	5.2	9.6	Virginica
7.6	7.2	4.5	Setosa
5.4	6.0	4.5	Versicolor
6.1	7.5	4.1	Versicolor
9.1	7.4	2.5	Setosa
6.7	8.3	1.7	Setosa
