sepal.length	variety
7.7	Versicolor
8.8	Versicolor
6.9	Virginica
8.4	Virginica
9.2	Virginica
12.2	Virginica
4.9	Virginica
6.3	Versicolor
6.5	Setosa
10.4	Virginica
9.2	Virginica
6.5	Versicolor
6.8	Virginica
7.0	Versicolor
10.0	Versicolor
9.4	Setosa
7.9	Setosa
7.0	Versicolor
6.2	Versicolor
6.4	Setosa
5.7	Setosa
10.0	Virginica
10.0	Virginica
6.3	Virginica
10.3	Virginica
9.6	Setosa
9.9	Setosa
10.1	Virginica
6.6	Setosa
9.7	Versicolor
7.7	Virginica
7.4	Setosa
9.1	Versicolor
4.9	Setosa
8.0	Virginica
9.5	Versicolor
8.1	Setosa
10.2	Versicolor
7.3	Virginica
6.8	Virginica
10.8	Virginica
8.6	Versicolor
10.1	Versicolor
8.9	Virginica
8.4	Versicolor
4.9	Setosa
6.6	Versicolor
5.5	Setosa
7.6	Virginica
5.6	Setosa
10.6	Versicolor
8.6	Versicolor
7.7	Versicolor
9.4	Setosa
5.3	Setosa
9.2	Virginica
7.8	Virginica
10.9	Virginica
5.9	Setosa
9.5	Setosa
9.4	Setosa
10.3	Virginica
9.9	Virginica
10.0	Versicolor
8.3	Setosa
9.7	Virginica
7.2	Versicolor
6.6	Setosa
9.2	Virginica
10.3	Versicolor
8.0	Virginica
8.8	Setosa
4.8	Setosa
9.1	Virginica
10.3	Versicolor
9.4	Virginica
5.2	Setosa
8.1	Setosa
10.3	Versicolor
8.1	Setosa
8.4	Setosa
9.0	Setosa
8.4	Versicolor
7.7	Virginica
8.8	Versicolor
10.5	Versicolor
8.7	Virginica
5.4	Setosa
7.1	Versicolor
5.8	Setosa
9.7	Virginica
8.6	Setosa
6.0	Versicolor
5.2	Setosa
8.6	Setosa
10.0	Versicolor
8.1	Virginica
7.7	Versicolor
6.0	Setosa
6.3	Virginica
10.6	Versicolor
10.0	Versicolor
9.4	Versicolor
10.7	Virginica
10.4	Versicolor
