sepal.width	variety
3.0	Versicolor
3.7	Virginica
4.3	Virginica
3.9	Virginica
6.1	Versicolor
6.0	Setosa
4.0	Virginica
4.5	Virginica
6.4	Setosa
4.3	Virginica
3.3	Versicolor
5.1	Setosa
7.3	Virginica
5.8	Virginica
5.7	Setosa
3.0	Versicolor
5.6	Versicolor
5.5	Versicolor
7.2	Virginica
3.8	Setosa
3.9	Versicolor
4.8	Versicolor
5.4	Versicolor
2.9	Versicolor
6.6	Virginica
4.3	Setosa
4.4	Setosa
5.3	Versicolor
2.5	Versicolor
4.9	Versicolor
5.5	Setosa
6.7	Versicolor
4.8	Setosa
6.0	Versicolor
6.3	Versicolor
7.4	Virginica
2.5	Virginica
6.0	Virginica
4.0	Setosa
7.1	Virginica
4.4	Virginica
5.4	Setosa
7.3	Virginica
3.5	Setosa
7.3	Virginica
4.0	Setosa
6.7	Setosa
6.3	Versicolor
4.3	Setosa
3.7	Setosa
6.4	Setosa
4.2	Versicolor
4.4	Setosa
7.0	Setosa
3.5	Setosa
7.2	Versicolor
4.5	Versicolor
6.6	Setosa
8.2	Setosa
7.0	Versicolor
2.6	Versicolor
2.5	Versicolor
7.9	Setosa
3.0	Virginica
4.0	Virginica
3.3	Virginica
7.7	Virginica
5.0	Virginica
6.2	Versicolor
5.1	Setosa
3.1	Virginica
3.7	Versicolor
3.2	Virginica
5.4	Setosa
5.3	Virginica
7.3	Virginica
3.4	Virginica
6.6	Setosa
4.4	Setosa
4.3	Versicolor
2.5	Virginica
8.4	Setosa
6.7	Setosa
5.9	Setosa
3.3	Versicolor
4.2	Virginica
6.9	Versicolor
4.0	Versicolor
4.7	Versicolor
6.4	Versicolor
8.3	Setosa
5.5	Setosa
6.3	Virginica
4.0	Versicolor
6.2	Versicolor
3.0	Virginica
6.6	Virginica
5.4	Setosa
3.2	Virginica
6.0	Virginica
5.2	Virginica
3.7	Virginica
4.6	Setosa
3.6	Versicolor
4.2	Versicolor
