sepal.width	variety
5.4	Setosa
5.1	Setosa
5.0	Versicolor
2.6	Versicolor
7.0	Virginica
4.4	Setosa
5.9	Setosa
6.9	Setosa
6.0	Versicolor
3.3	Versicolor
5.3	Versicolor
5.8	Virginica
6.3	Virginica
6.3	Setosa
4.3	Virginica
6.7	Virginica
7.7	Virginica
4.8	Versicolor
6.0	Virginica
5.5	Setosa
7.6	Virginica
3.4	Versicolor
7.3	Versicolor
4.7	Versicolor
4.0	Virginica
4.3	Virginica
5.7	Setosa
5.6	Versicolor
7.0	Setosa
8.0	Setosa
6.2	Virginica
6.1	Setosa
5.4	Virginica
6.2	Setosa
3.5	Virginica
4.6	Virginica
3.5	Virginica
4.4	Versicolor
6.6	Versicolor
6.8	Virginica
5.4	Setosa
2.8	Versicolor
3.7	Versicolor
7.8	Setosa
7.7	Versicolor
5.6	Versicolor
6.7	Setosa
3.2	Versicolor
3.1	Virginica
3.3	Versicolor
8.1	Setosa
7.0	Virginica
5.9	Setosa
3.6	Versicolor
2.8	Versicolor
7.4	Setosa
7.6	Setosa
8.4	Setosa
7.5	Setosa
4.2	Versicolor
7.1	Virginica
6.4	Virginica
6.3	Virginica
6.7	Versicolor
7.3	Setosa
5.5	Setosa
4.2	Versicolor
4.3	Virginica
2.6	Virginica
3.4	Setosa
5.8	Setosa
7.0	Setosa
5.9	Setosa
3.4	Setosa
5.5	Versicolor
6.5	Setosa
5.9	Versicolor
4.4	Versicolor
6.5	Virginica
5.2	Virginica
5.0	Versicolor
7.3	Virginica
3.4	Versicolor
3.2	Setosa
7.1	Setosa
6.3	Virginica
3.4	Virginica
5.1	Virginica
5.7	Setosa
3.2	Virginica
5.5	Setosa
6.2	Virginica
7.1	Virginica
6.3	Setosa
6.0	Versicolor
3.4	Setosa
5.5	Virginica
3.7	Setosa
3.8	Virginica
4.2	Versicolor
4.0	Setosa
6.5	Versicolor
5.0	Virginica
5.7	Setosa
3.5	Versicolor
