sepal.width	variety
7.3	Versicolor
6.3	Versicolor
5.0	Virginica
5.5	Setosa
2.4	Versicolor
6.9	Setosa
5.9	Virginica
6.0	Setosa
7.1	Virginica
7.0	Setosa
6.5	Versicolor
4.8	Setosa
3.4	Setosa
3.4	Versicolor
4.6	Setosa
6.3	Virginica
5.5	Setosa
6.5	Versicolor
6.5	Virginica
3.8	Virginica
4.2	Virginica
6.3	Virginica
6.2	Setosa
3.0	Virginica
3.0	Versicolor
3.0	Virginica
4.0	Setosa
5.2	Versicolor
5.5	Virginica
3.9	Virginica
4.7	Versicolor
5.3	Versicolor
5.5	Virginica
3.5	Versicolor
3.7	Setosa
6.7	Virginica
8.4	Setosa
5.3	Versicolor
6.7	Virginica
5.7	Setosa
6.9	Versicolor
3.5	Versicolor
2.9	Versicolor
5.0	Setosa
7.0	Versicolor
4.7	Virginica
5.4	Versicolor
3.0	Setosa
3.3	Versicolor
5.1	Virginica
5.1	Setosa
4.2	Setosa
4.2	Virginica
4.2	Versicolor
3.1	Virginica
3.9	Setosa
3.3	Versicolor
4.0	Virginica
5.6	Setosa
4.8	Virginica
3.9	Setosa
4.5	Versicolor
6.9	Setosa
3.7	Setosa
3.5	Virginica
6.6	Setosa
6.9	Virginica
5.5	Setosa
4.0	Versicolor
7.9	Setosa
4.0	Virginica
4.7	Setosa
4.5	Virginica
4.2	Versicolor
5.8	Versicolor
7.2	Virginica
4.3	Virginica
4.6	Setosa
3.9	Setosa
3.4	Setosa
5.6	Virginica
4.6	Versicolor
5.4	Versicolor
4.5	Virginica
3.8	Versicolor
5.8	Versicolor
2.3	Versicolor
5.9	Virginica
6.3	Virginica
7.1	Setosa
5.7	Setosa
6.5	Versicolor
6.5	Setosa
7.7	Setosa
4.6	Versicolor
3.5	Setosa
7.2	Virginica
7.9	Versicolor
3.8	Setosa
3.8	Virginica
6.3	Setosa
6.3	Virginica
6.3	Virginica
6.7	Versicolor
5.1	Versicolor
