sepal.length	sepal.width	variety
10.0	3.0	Versicolor
6.8	7.7	Virginica
8.0	4.0	Versicolor
9.5	7.1	Versicolor
7.7	5.3	Virginica
8.3	3.4	Virginica
7.4	8.4	Setosa
7.2	5.4	Virginica
5.7	7.6	Setosa
6.5	7.2	Setosa
8.9	3.3	Virginica
9.9	7.0	Versicolor
9.5	7.0	Virginica
8.3	4.7	Virginica
7.0	3.5	Virginica
9.4	6.4	Versicolor
9.4	3.1	Setosa
6.1	3.4	Setosa
6.8	4.7	Virginica
9.4	5.3	Virginica
8.3	3.0	Virginica
5.0	4.9	Setosa
7.7	4.1	Virginica
8.2	5.7	Versicolor
7.6	4.0	Setosa
11.2	3.3	Virginica
8.8	4.5	Virginica
8.4	6.3	Virginica
6.6	7.3	Virginica
4.6	6.7	Setosa
9.4	3.9	Setosa
7.6	7.8	Setosa
7.7	5.2	Virginica
8.3	5.0	Setosa
9.4	3.9	Setosa
5.6	4.0	Versicolor
7.0	5.8	Setosa
9.7	4.1	Virginica
11.2	6.0	Versicolor
6.1	3.3	Setosa
9.0	3.8	Versicolor
5.0	2.3	Setosa
8.0	3.5	Setosa
8.5	4.3	Versicolor
6.6	4.5	Versicolor
8.5	5.9	Versicolor
6.1	5.5	Setosa
10.4	4.4	Versicolor
6.0	5.7	Setosa
6.9	6.2	Versicolor
7.6	4.9	Setosa
9.1	5.0	Versicolor
9.7	5.8	Virginica
10.1	4.5	Virginica
9.7	3.8	Versicolor
9.7	3.6	Versicolor
6.4	3.0	Virginica
8.7	4.8	Virginica
6.7	3.4	Versicolor
5.6	4.4	Versicolor
4.9	7.2	Setosa
4.9	2.5	Virginica
6.5	3.2	Virginica
9.6	6.1	Virginica
5.6	6.6	Setosa
9.6	5.5	Virginica
8.3	4.3	Virginica
10.2	4.0	Versicolor
7.9	2.7	Virginica
9.7	4.7	Versicolor
7.8	4.7	Versicolor
5.4	3.6	Setosa
6.5	3.9	Versicolor
9.5	6.9	Versicolor
8.3	6.0	Setosa
9.9	4.5	Versicolor
9.0	6.2	Versicolor
9.9	7.2	Setosa
10.4	5.2	Virginica
9.2	3.0	Virginica
6.6	5.3	Versicolor
11.3	7.3	Versicolor
10.5	6.5	Virginica
7.1	3.0	Versicolor
7.7	5.6	Virginica
7.4	6.6	Setosa
7.7	6.4	Versicolor
10.9	6.6	Virginica
6.2	6.0	Setosa
8.7	8.9	Setosa
7.5	5.3	Versicolor
6.6	7.6	Setosa
7.0	3.0	Setosa
7.4	4.2	Virginica
6.6	4.0	Versicolor
7.3	7.5	Setosa
9.3	6.6	Versicolor
9.1	6.3	Setosa
11.2	4.1	Versicolor
8.1	6.7	Versicolor
7.3	7.2	Setosa
5.7	7.7	Setosa
5.7	3.4	Setosa
5.8	5.2	Virginica
5.0	4.5	Setosa
