sepal.length	sepal.width	variety
10.5	4.2	Versicolor
7.9	3.1	Virginica
9.4	3.4	Versicolor
6.3	6.9	Setosa
11.2	4.5	Virginica
10.9	6.2	Virginica
7.6	7.5	Virginica
7.4	6.6	Setosa
8.2	6.6	Virginica
5.0	5.5	Setosa
8.3	5.9	Virginica
6.3	6.3	Virginica
11.2	4.3	Virginica
7.6	6.0	Versicolor
8.7	4.0	Versicolor
8.4	6.3	Virginica
9.7	3.3	Virginica
8.1	6.1	Setosa
7.0	7.3	Setosa
9.7	6.5	Virginica
5.5	2.3	Setosa
8.6	5.4	Versicolor
9.1	3.4	Versicolor
8.0	3.7	Setosa
5.5	4.2	Setosa
9.0	5.5	Versicolor
10.5	6.7	Virginica
8.5	5.4	Setosa
6.3	6.7	Setosa
9.4	3.4	Setosa
4.4	6.9	Setosa
6.5	4.4	Versicolor
10.5	5.0	Virginica
6.1	4.0	Versicolor
7.0	6.0	Setosa
5.7	5.5	Virginica
12.2	4.3	Virginica
10.6	6.0	Virginica
6.6	7.1	Setosa
8.3	5.5	Setosa
6.4	3.3	Virginica
5.0	5.5	Setosa
5.1	2.5	Versicolor
7.7	3.2	Setosa
5.6	7.9	Setosa
9.8	6.5	Versicolor
7.0	3.4	Setosa
9.1	3.3	Virginica
7.7	4.7	Versicolor
9.2	4.5	Setosa
9.0	7.5	Virginica
9.2	5.4	Setosa
8.7	7.5	Versicolor
8.1	5.3	Versicolor
5.2	7.9	Setosa
6.1	7.9	Setosa
5.9	2.5	Virginica
7.2	2.8	Versicolor
7.9	4.9	Versicolor
9.1	5.6	Virginica
10.3	4.2	Virginica
7.2	5.1	Virginica
8.7	6.7	Virginica
6.7	5.1	Setosa
6.7	6.9	Virginica
6.1	3.8	Setosa
9.0	6.3	Versicolor
8.1	7.7	Setosa
4.3	3.0	Setosa
6.3	7.0	Setosa
8.4	7.2	Setosa
5.9	3.0	Virginica
5.5	5.3	Versicolor
10.5	4.2	Virginica
6.4	7.7	Setosa
6.8	3.8	Versicolor
7.2	6.2	Versicolor
9.7	2.6	Virginica
8.1	3.7	Setosa
9.3	4.3	Virginica
8.6	8.0	Setosa
8.7	6.3	Virginica
9.8	4.3	Versicolor
9.3	3.7	Virginica
8.2	6.8	Setosa
7.0	6.0	Virginica
7.0	2.9	Versicolor
8.2	7.7	Setosa
9.1	4.5	Versicolor
9.2	5.5	Virginica
8.9	6.6	Setosa
10.1	7.5	Versicolor
9.9	5.5	Versicolor
4.4	3.5	Setosa
7.9	5.3	Virginica
6.5	3.5	Virginica
11.4	4.8	Virginica
5.8	3.7	Versicolor
10.7	5.6	Versicolor
8.0	7.1	Versicolor
8.0	6.0	Setosa
6.5	5.6	Setosa
10.0	4.4	Versicolor
7.6	5.3	Setosa
9.4	6.1	Virginica
