sepal.length	sepal.width	petal.length	variety
6.6	7.5	4.4	Setosa
6.5	3.8	4.8	Setosa
7.8	2.8	7.9	Versicolor
10.1	7.5	6.4	Versicolor
6.9	6.9	8.8	Versicolor
9.6	5.8	3.1	Setosa
10.4	3.3	10.1	Virginica
8.3	6.9	2.6	Setosa
8.2	4.4	7.3	Versicolor
10.0	5.5	5.3	Setosa
6.0	5.6	2.9	Setosa
7.0	7.0	7.5	Virginica
5.6	4.2	4.7	Versicolor
10.9	6.1	5.9	Virginica
7.2	4.3	5.7	Virginica
7.9	4.4	5.3	Setosa
12.2	5.6	8.9	Virginica
7.2	5.3	6.7	Virginica
7.3	3.0	1.4	Setosa
6.5	4.4	1.5	Setosa
8.6	5.5	5.4	Virginica
6.1	5.5	3.9	Versicolor
5.7	4.9	8.7	Versicolor
7.7	7.1	10.1	Virginica
8.9	6.7	4.0	Setosa
8.0	3.5	6.1	Setosa
8.3	7.3	6.8	Versicolor
5.7	8.3	1.7	Setosa
8.8	7.1	5.1	Setosa
8.6	5.9	6.6	Versicolor
7.7	7.5	8.8	Virginica
9.4	4.6	2.4	Setosa
7.5	4.8	8.1	Versicolor
11.1	5.5	8.9	Virginica
7.0	6.7	5.5	Versicolor
10.4	4.0	6.1	Virginica
5.8	6.0	3.9	Setosa
6.2	4.0	2.0	Setosa
5.5	5.7	2.2	Setosa
7.2	3.1	8.0	Versicolor
6.9	4.9	6.2	Setosa
9.3	7.7	6.4	Virginica
5.8	3.7	4.5	Setosa
6.7	5.7	9.0	Versicolor
8.0	4.9	5.0	Versicolor
6.6	7.1	6.6	Virginica
10.3	2.7	9.4	Virginica
9.5	2.4	4.3	Versicolor
10.8	4.4	10.8	Virginica
7.6	4.3	2.7	Setosa
9.1	2.8	7.9	Virginica
6.6	6.5	6.1	Versicolor
9.2	4.1	6.9	Versicolor
8.2	7.0	5.2	Versicolor
6.2	6.2	2.6	Setosa
8.9	4.0	5.9	Setosa
11.9	6.8	8.4	Virginica
7.9	3.1	5.0	Setosa
6.5	3.3	3.9	Setosa
11.3	3.5	5.5	Virginica
5.7	4.4	5.9	Setosa
9.4	5.0	5.5	Virginica
7.4	3.4	1.9	Setosa
6.5	6.2	9.5	Virginica
8.7	6.0	7.1	Virginica
6.7	3.6	7.1	Virginica
10.5	6.0	5.3	Virginica
11.7	7.7	8.5	Virginica
11.7	6.8	10.7	Virginica
10.6	3.0	10.6	Virginica
6.6	7.5	7.0	Versicolor
8.0	4.5	6.0	Versicolor
11.2	4.0	6.8	Virginica
8.5	6.5	5.8	Virginica
10.6	3.8	6.5	Versicolor
10.3	5.8	9.6	Virginica
10.5	3.2	7.6	Versicolor
9.3	6.7	7.1	Virginica
7.2	7.3	7.0	Versicolor
6.3	3.4	4.4	Setosa
8.5	5.0	3.3	Setosa
8.7	4.4	8.9	Virginica
9.6	8.2	3.0	Setosa
6.9	3.0	5.8	Setosa
7.5	5.0	7.2	Virginica
8.8	5.7	6.6	Versicolor
6.3	3.4	8.1	Virginica
9.9	4.6	10.0	Virginica
5.2	7.7	1.8	Setosa
5.7	5.9	5.0	Setosa
4.6	5.1	2.0	Setosa
6.9	3.7	3.3	Setosa
8.8	5.1	7.5	Versicolor
6.6	4.8	2.0	Setosa
9.4	6.1	2.0	Setosa
7.4	3.7	8.8	Virginica
7.3	5.5	6.4	Versicolor
6.4	2.7	5.8	Virginica
9.1	3.0	7.0	Versicolor
5.9	7.7	7.3	Versicolor
10.2	3.0	5.0	Virginica
5.4	6.4	3.3	Versicolor
9.0	3.1	7.9	Versicolor
11.0	6.7	5.1	Virginica
8.2	7.0	7.0	Versicolor
