petal.length	variety
6.6	Virginica
6.3	Virginica
6.7	Virginica
4.4	Setosa
6.7	Versicolor
10.0	Virginica
2.8	Setosa
5.0	Virginica
2.6	Setosa
9.4	Versicolor
5.3	Versicolor
6.9	Virginica
3.0	Versicolor
3.7	Setosa
8.3	Virginica
3.4	Setosa
3.2	Setosa
1.4	Setosa
9.1	Virginica
7.5	Versicolor
5.0	Versicolor
6.5	Virginica
6.0	Versicolor
9.3	Versicolor
4.6	Setosa
8.5	Versicolor
5.2	Versicolor
5.9	Setosa
3.1	Setosa
8.5	Versicolor
4.0	Setosa
6.7	Versicolor
4.8	Virginica
4.3	Versicolor
9.2	Versicolor
6.1	Virginica
7.0	Versicolor
8.1	Virginica
6.0	Setosa
9.2	Virginica
9.5	Virginica
6.1	Versicolor
8.5	Versicolor
5.0	Setosa
3.7	Setosa
2.0	Setosa
3.4	Setosa
9.8	Virginica
3.1	Setosa
4.4	Versicolor
5.2	Versicolor
5.5	Setosa
7.5	Versicolor
7.1	Virginica
7.1	Virginica
7.3	Versicolor
7.1	Virginica
6.3	Versicolor
1.3	Setosa
5.9	Versicolor
4.0	Setosa
7.0	Versicolor
3.9	Setosa
8.6	Virginica
9.1	Virginica
2.0	Setosa
7.7	Versicolor
9.9	Virginica
5.6	Versicolor
9.0	Virginica
4.0	Setosa
2.0	Setosa
5.7	Setosa
1.9	Setosa
6.1	Setosa
7.2	Versicolor
8.4	Versicolor
1.5	Setosa
8.6	Virginica
7.9	Virginica
9.7	Virginica
10.4	Virginica
2.7	Setosa
5.4	Virginica
5.6	Setosa
5.4	Versicolor
5.8	Virginica
1.9	Setosa
3.4	Setosa
6.1	Virginica
10.4	Virginica
7.1	Versicolor
9.0	Versicolor
5.3	Setosa
2.4	Setosa
6.7	Versicolor
7.2	Virginica
6.0	Setosa
9.5	Virginica
7.1	Virginica
8.7	Virginica
5.6	Virginica
8.0	Virginica
6.7	Versicolor
10.6	Virginica
