sepal.length	sepal.width	petal.length	variety
8.2	2.9	4.7	Versicolor
9.3	7.0	2.9	Setosa
8.2	7.3	7.7	Virginica
6.7	5.2	5.5	Versicolor
9.4	6.7	6.8	Virginica
10.3	4.4	7.1	Virginica
7.5	4.3	3.8	Versicolor
6.5	3.3	3.4	Setosa
7.0	7.7	9.6	Virginica
9.0	5.7	8.5	Virginica
8.2	3.0	10.3	Virginica
9.8	6.3	8.1	Virginica
7.1	3.6	6.1	Virginica
5.4	5.9	6.2	Setosa
7.6	3.8	4.0	Versicolor
8.6	3.9	3.4	Setosa
11.7	6.2	7.0	Virginica
8.5	3.3	8.0	Versicolor
7.1	3.3	6.4	Virginica
9.8	3.7	8.6	Versicolor
6.1	5.4	6.2	Versicolor
6.4	2.9	4.4	Setosa
8.1	3.5	6.9	Virginica
8.0	3.5	8.5	Versicolor
9.2	7.0	6.5	Virginica
8.4	2.9	5.3	Versicolor
8.0	3.5	5.1	Setosa
6.0	5.4	5.5	Setosa
9.8	5.4	6.3	Virginica
11.2	5.5	5.7	Virginica
8.1	4.5	5.1	Versicolor
9.7	5.2	5.9	Versicolor
5.1	4.8	6.1	Setosa
7.0	6.4	5.8	Versicolor
10.7	5.6	7.1	Virginica
6.0	5.9	6.1	Setosa
7.2	7.9	7.9	Virginica
7.3	7.9	6.1	Virginica
6.7	7.1	4.7	Versicolor
7.7	8.0	2.5	Setosa
10.2	5.6	6.5	Versicolor
8.0	4.2	8.5	Versicolor
7.1	6.3	5.4	Setosa
10.2	7.0	9.6	Virginica
8.0	2.7	8.1	Versicolor
7.1	6.0	7.0	Versicolor
8.4	3.5	4.5	Virginica
7.8	6.6	4.5	Versicolor
8.8	5.5	6.5	Virginica
6.8	5.5	5.6	Setosa
6.8	3.1	6.1	Setosa
8.8	7.0	7.9	Versicolor
7.1	4.0	6.1	Versicolor
6.9	7.7	5.0	Versicolor
7.3	7.9	5.1	Setosa
6.6	6.5	1.4	Setosa
7.7	6.3	6.2	Virginica
7.1	7.5	5.4	Setosa
6.3	6.8	8.0	Virginica
6.5	7.4	5.5	Versicolor
8.1	6.5	4.4	Versicolor
8.7	3.5	8.3	Virginica
9.3	3.2	8.1	Virginica
5.5	3.3	2.3	Setosa
8.0	5.1	6.9	Versicolor
7.3	6.7	4.5	Setosa
8.9	6.2	8.3	Versicolor
8.4	3.7	6.3	Virginica
7.7	4.1	7.1	Virginica
8.7	5.8	9.2	Virginica
5.4	3.0	7.0	Versicolor
5.4	6.2	5.3	Setosa
10.4	4.1	5.9	Versicolor
8.9	4.6	6.9	Virginica
9.5	5.9	6.7	Versicolor
9.6	4.8	5.5	Setosa
7.3	4.2	8.1	Virginica
9.0	5.9	8.5	Versicolor
8.6	7.8	6.2	Setosa
9.9	4.5	8.2	Versicolor
9.1	8.1	4.0	Setosa
9.2	7.9	2.5	Setosa
8.3	4.2	6.9	Virginica
9.6	5.5	8.1	Virginica
8.1	6.4	5.1	Versicolor
7.5	5.5	5.0	Versicolor
8.0	6.5	4.6	Setosa
9.4	7.1	2.9	Setosa
7.2	7.9	3.4	Setosa
6.1	3.7	4.7	Versicolor
10.3	5.7	5.4	Versicolor
5.9	3.0	5.3	Setosa
6.6	5.9	6.6	Versicolor
7.9	4.0	4.4	Setosa
9.9	5.7	9.2	Virginica
8.2	3.3	7.2	Virginica
9.8	5.2	9.9	Virginica
6.2	2.8	6.3	Virginica
5.5	4.6	5.9	Setosa
6.3	5.8	7.2	Versicolor
8.1	7.6	4.5	Setosa
5.0	3.5	2.3	Setosa
8.4	7.3	6.6	Virginica
7.9	4.8	8.1	Virginica
7.9	4.8	9.6	Virginica
