sepal.length	sepal.width	variety
5.1	7.8	Setosa
7.7	7.0	Virginica
12.2	4.1	Virginica
8.2	8.9	Setosa
7.6	7.3	Virginica
7.4	3.5	Virginica
7.5	5.7	Versicolor
9.0	5.5	Setosa
9.6	6.5	Virginica
10.4	4.8	Virginica
7.1	3.9	Setosa
8.0	7.5	Setosa
9.0	7.3	Versicolor
5.4	4.4	Setosa
4.9	5.0	Setosa
6.4	6.7	Versicolor
10.7	5.8	Virginica
7.4	6.0	Versicolor
8.7	3.1	Versicolor
9.0	7.7	Versicolor
7.8	7.4	Setosa
7.3	6.2	Setosa
7.9	7.7	Versicolor
9.5	6.8	Versicolor
7.1	4.6	Virginica
7.3	3.3	Virginica
5.2	4.6	Setosa
7.3	4.7	Virginica
8.2	6.2	Versicolor
10.3	5.4	Virginica
7.7	5.0	Versicolor
10.0	3.0	Virginica
7.8	5.7	Virginica
9.2	4.7	Virginica
6.3	4.5	Versicolor
11.2	7.1	Virginica
6.0	7.5	Virginica
7.0	5.5	Setosa
9.3	6.8	Virginica
9.2	5.4	Setosa
8.0	6.4	Setosa
5.6	3.1	Setosa
6.7	6.8	Virginica
7.6	5.0	Setosa
9.7	4.8	Virginica
9.2	5.2	Setosa
6.4	6.1	Setosa
8.8	5.8	Versicolor
6.7	3.1	Versicolor
9.7	7.6	Virginica
6.6	3.0	Versicolor
5.7	7.0	Setosa
6.5	5.9	Versicolor
5.6	5.1	Setosa
7.0	5.9	Versicolor
7.9	4.4	Versicolor
6.0	5.0	Setosa
5.9	5.6	Setosa
6.7	3.1	Versicolor
8.2	4.3	Virginica
9.7	4.0	Virginica
8.7	6.0	Versicolor
7.9	4.0	Setosa
6.0	4.6	Versicolor
8.4	5.6	Virginica
9.3	3.8	Versicolor
7.1	4.5	Versicolor
9.1	5.5	Versicolor
6.9	2.9	Setosa
7.1	7.3	Setosa
8.6	2.9	Versicolor
12.2	7.3	Virginica
5.7	4.9	Versicolor
8.7	3.8	Setosa
8.3	7.5	Setosa
5.6	4.8	Setosa
9.9	7.2	Virginica
9.2	4.5	Virginica
7.9	4.8	Virginica
9.6	4.0	Virginica
10.4	6.6	Versicolor
8.9	7.7	Setosa
8.5	3.0	Versicolor
7.2	3.7	Versicolor
8.3	7.0	Virginica
6.4	3.6	Setosa
8.6	6.9	Versicolor
8.5	6.0	Versicolor
7.3	5.2	Virginica
8.9	5.9	Setosa
8.0	7.6	Setosa
7.8	4.9	Virginica
6.8	6.7	Virginica
10.0	3.7	Virginica
6.6	4.2	Setosa
10.0	5.0	Virginica
7.3	5.6	Setosa
10.7	3.0	Virginica
8.8	3.1	Versicolor
9.7	4.9	Versicolor
7.5	5.2	Setosa
7.0	4.9	Versicolor
5.8	3.5	Setosa
7.6	8.3	Setosa
8.1	6.4	Setosa
