sepal.width	petal.length	variety
6.0	1.8	Setosa
2.3	6.0	Versicolor
5.2	8.0	Versicolor
3.3	8.1	Versicolor
2.5	7.9	Versicolor
3.0	5.4	Setosa
4.1	2.5	Setosa
3.2	5.4	Versicolor
3.3	7.7	Versicolor
3.9	4.1	Setosa
5.7	7.9	Virginica
4.8	10.4	Virginica
3.8	7.9	Versicolor
6.8	1.7	Setosa
6.7	5.8	Versicolor
3.5	4.0	Versicolor
4.6	8.4	Versicolor
6.5	7.8	Virginica
7.3	4.5	Versicolor
2.9	4.8	Versicolor
5.4	5.1	Setosa
5.2	5.2	Versicolor
2.9	7.6	Virginica
3.7	9.4	Virginica
5.5	5.0	Versicolor
5.0	6.2	Virginica
5.2	7.6	Virginica
6.2	9.1	Virginica
5.5	6.5	Virginica
6.2	2.5	Setosa
4.9	9.0	Versicolor
6.8	6.7	Virginica
3.8	10.0	Virginica
5.0	3.9	Versicolor
7.1	9.1	Virginica
5.2	6.8	Virginica
7.7	9.2	Virginica
5.0	6.9	Virginica
7.5	9.1	Virginica
6.4	1.5	Setosa
7.0	7.5	Versicolor
8.4	4.5	Setosa
8.0	5.8	Setosa
3.2	7.1	Virginica
6.5	3.4	Setosa
3.1	7.1	Virginica
4.7	5.9	Setosa
7.4	1.5	Setosa
5.9	4.7	Setosa
6.5	7.0	Versicolor
6.9	7.1	Versicolor
4.2	2.3	Setosa
5.0	6.1	Setosa
3.3	6.2	Setosa
6.0	2.1	Setosa
5.6	6.1	Virginica
5.0	9.5	Virginica
6.3	1.9	Setosa
4.0	7.0	Versicolor
3.9	8.1	Versicolor
7.0	2.4	Setosa
4.8	1.3	Setosa
6.5	8.8	Virginica
6.3	9.7	Virginica
4.1	9.4	Virginica
4.4	4.0	Setosa
5.5	5.6	Setosa
3.8	6.6	Virginica
7.2	2.3	Setosa
5.0	3.5	Setosa
7.5	7.0	Virginica
6.4	2.8	Setosa
5.5	10.6	Virginica
5.3	2.1	Setosa
2.9	3.8	Versicolor
2.2	8.5	Versicolor
6.7	4.6	Setosa
5.8	5.8	Versicolor
3.3	5.9	Virginica
4.4	5.3	Versicolor
3.8	2.4	Setosa
3.3	8.7	Virginica
4.3	8.2	Virginica
6.2	2.5	Setosa
5.4	1.4	Setosa
6.6	6.0	Setosa
4.2	4.7	Setosa
4.6	2.6	Setosa
5.4	1.7	Setosa
4.2	4.0	Setosa
4.3	4.3	Versicolor
5.6	6.4	Versicolor
3.8	9.6	Virginica
6.5	8.7	Versicolor
6.5	2.7	Setosa
4.9	5.3	Versicolor
6.4	5.4	Setosa
6.7	6.0	Virginica
4.2	6.2	Versicolor
6.5	3.4	Setosa
7.1	3.0	Setosa
4.0	6.5	Virginica
4.0	8.7	Versicolor
5.5	6.6	Versicolor
6.5	9.0	Versicolor
