sepal.length	sepal.width	variety
6.1	5.7	Setosa
5.8	5.6	Setosa
6.4	5.4	Setosa
10.2	5.8	Versicolor
8.6	6.0	Versicolor
10.4	3.3	Virginica
7.7	3.5	Virginica
7.7	5.0	Virginica
5.7	6.6	Setosa
5.1	5.0	Setosa
6.5	4.5	Virginica
6.6	7.1	Setosa
8.4	5.8	Virginica
9.5	5.6	Setosa
7.0	4.7	Versicolor
9.7	6.6	Virginica
10.9	4.2	Virginica
6.0	5.5	Versicolor
9.1	3.2	Setosa
7.5	5.9	Versicolor
5.7	4.8	Versicolor
9.1	7.1	Virginica
8.5	6.8	Setosa
7.7	7.5	Versicolor
9.4	5.9	Versicolor
6.1	4.0	Virginica
6.3	6.3	Virginica
7.7	7.0	Virginica
8.1	5.9	Setosa
9.2	5.9	Versicolor
8.7	5.8	Virginica
7.9	7.1	Virginica
8.7	5.2	Setosa
12.4	6.3	Virginica
4.8	5.9	Setosa
11.1	3.0	Virginica
8.8	4.7	Setosa
9.0	2.3	Versicolor
9.4	5.9	Setosa
5.5	7.5	Setosa
6.8	5.0	Setosa
9.5	3.4	Setosa
6.0	6.0	Setosa
10.1	3.8	Virginica
9.7	3.2	Versicolor
6.1	7.4	Versicolor
10.2	6.4	Versicolor
5.1	6.8	Setosa
11.2	3.2	Virginica
9.1	6.8	Versicolor
10.3	5.8	Virginica
7.4	4.5	Setosa
7.8	2.5	Virginica
9.7	8.0	Setosa
8.8	3.5	Setosa
5.8	5.2	Versicolor
9.0	5.2	Versicolor
8.0	5.2	Versicolor
6.4	4.9	Versicolor
10.2	4.5	Versicolor
6.6	3.7	Versicolor
10.5	7.5	Virginica
6.8	5.2	Virginica
9.2	3.9	Setosa
6.8	6.4	Virginica
11.2	7.3	Virginica
5.4	2.5	Virginica
7.6	6.3	Setosa
8.0	5.2	Virginica
10.2	8.4	Setosa
9.3	7.2	Virginica
7.1	5.6	Setosa
9.2	5.6	Virginica
7.4	4.2	Versicolor
10.2	2.8	Virginica
10.9	7.6	Versicolor
9.3	5.1	Versicolor
9.2	7.9	Virginica
11.3	4.5	Virginica
7.8	3.2	Virginica
6.4	4.1	Virginica
8.7	3.1	Virginica
5.4	6.9	Setosa
8.0	4.9	Versicolor
7.0	4.2	Setosa
8.6	7.0	Versicolor
6.0	5.5	Virginica
9.0	5.3	Setosa
9.3	5.8	Versicolor
7.4	5.7	Virginica
7.8	6.9	Virginica
6.7	2.7	Versicolor
7.8	3.5	Setosa
6.7	4.1	Versicolor
7.4	4.5	Versicolor
6.5	5.8	Versicolor
8.3	4.3	Virginica
6.5	3.0	Virginica
8.8	5.4	Virginica
5.8	5.2	Versicolor
6.8	4.8	Versicolor
9.0	5.9	Versicolor
7.8	3.5	Versicolor
9.2	5.6	Versicolor
6.9	6.2	Versicolor
