petal.length	petal.width	variety
3.1	3.7	Setosa
6.2	3.6	Virginica
7.3	5.3	Virginica
5.2	4.4	Versicolor
10.5	6.5	Virginica
4.5	5.5	Versicolor
5.4	2.4	Versicolor
2.0	0.3	Setosa
10.9	6.3	Virginica
1.4	3.7	Setosa
8.9	2.4	Versicolor
9.0	1.5	Versicolor
7.8	4.8	Virginica
5.2	4.2	Setosa
3.4	2.2	Setosa
5.1	3.6	Setosa
6.1	3.9	Virginica
6.4	3.6	Virginica
6.8	5.0	Versicolor
8.5	3.2	Versicolor
4.9	1.2	Setosa
5.6	0.2	Setosa
5.8	2.4	Virginica
7.4	4.8	Virginica
6.6	2.3	Versicolor
8.6	5.3	Versicolor
3.1	1.1	Setosa
3.8	1.7	Setosa
6.7	4.6	Versicolor
6.6	2.1	Virginica
8.5	2.3	Versicolor
7.3	3.3	Virginica
9.1	6.8	Virginica
8.1	6.4	Virginica
6.7	2.2	Versicolor
8.1	1.5	Versicolor
2.4	4.6	Setosa
6.9	1.9	Versicolor
6.1	2.3	Virginica
4.3	4.2	Setosa
8.1	3.9	Virginica
2.2	1.2	Setosa
1.5	3.2	Setosa
5.1	5.4	Virginica
7.6	2.9	Versicolor
7.6	3.5	Versicolor
10.3	3.1	Virginica
6.9	1.2	Versicolor
4.7	4.0	Versicolor
4.5	4.0	Versicolor
6.0	3.6	Versicolor
9.1	5.3	Versicolor
5.7	1.5	Versicolor
6.9	5.3	Virginica
5.3	2.3	Setosa
4.5	4.8	Versicolor
1.6	0.2	Setosa
2.5	3.2	Setosa
4.1	4.2	Setosa
7.0	5.4	Virginica
2.4	4.3	Setosa
7.0	6.1	Virginica
6.2	4.8	Virginica
8.0	6.3	Virginica
1.5	0.7	Setosa
6.7	2.7	Virginica
7.5	3.2	Versicolor
9.6	2.2	Virginica
9.0	4.2	Virginica
7.1	2.6	Virginica
7.1	5.3	Versicolor
9.6	3.0	Virginica
10.0	5.8	Virginica
5.3	2.8	Versicolor
10.6	6.8	Virginica
1.5	4.2	Setosa
4.0	3.2	Setosa
4.5	1.4	Setosa
5.9	2.6	Setosa
3.7	4.7	Setosa
5.8	1.3	Versicolor
7.6	4.5	Virginica
3.9	3.9	Setosa
4.9	4.0	Versicolor
7.4	3.5	Versicolor
2.6	0.9	Setosa
5.7	1.3	Versicolor
6.1	5.4	Virginica
7.1	5.8	Virginica
5.0	1.8	Versicolor
4.8	2.2	Setosa
10.6	2.5	Virginica
3.9	3.8	Setosa
4.4	0.2	Setosa
7.0	3.3	Versicolor
4.8	3.9	Setosa
1.7	0.9	Setosa
7.3	2.6	Versicolor
3.3	3.0	Versicolor
3.9	4.7	Setosa
8.0	2.0	Virginica
3.5	3.6	Setosa
4.7	4.7	Versicolor
1.9	0.2	Setosa
7.4	1.7	Versicolor
