sepal.width	petal.length	petal.width	variety
4.5	3.0	3.2	Setosa
8.0	6.1	4.6	Setosa
4.6	10.1	5.9	Virginica
8.3	10.4	2.5	Virginica
3.9	1.9	2.7	Setosa
4.5	5.5	4.3	Versicolor
2.6	10.9	6.8	Virginica
4.2	6.5	3.3	Virginica
3.9	7.5	2.6	Versicolor
3.9	3.1	2.7	Setosa
5.0	2.3	0.7	Setosa
7.0	6.6	6.3	Virginica
4.6	4.9	5.2	Versicolor
4.2	6.4	3.3	Virginica
5.2	7.8	3.3	Virginica
7.3	8.5	4.8	Versicolor
6.6	3.6	4.2	Setosa
4.1	3.0	0.7	Setosa
7.8	6.2	3.6	Virginica
4.6	5.0	3.7	Setosa
5.1	8.4	5.1	Virginica
4.5	6.0	2.0	Virginica
4.7	5.1	2.1	Versicolor
5.5	5.0	4.5	Versicolor
6.0	9.8	6.3	Virginica
7.2	9.6	4.9	Virginica
2.7	4.5	2.5	Versicolor
2.5	6.5	4.7	Virginica
3.7	7.9	2.8	Virginica
3.0	2.4	3.2	Setosa
4.0	1.4	1.7	Setosa
2.9	2.4	1.7	Setosa
4.3	1.8	1.3	Setosa
7.1	2.0	0.6	Setosa
2.8	4.6	3.8	Versicolor
6.9	9.6	5.4	Virginica
7.2	7.1	4.9	Virginica
8.9	2.0	2.4	Setosa
8.2	3.5	3.7	Setosa
3.5	8.5	5.1	Virginica
6.5	2.1	3.6	Setosa
5.3	7.0	4.3	Versicolor
7.5	6.1	3.8	Versicolor
3.2	6.0	1.5	Versicolor
3.5	2.9	4.6	Setosa
2.3	3.8	2.0	Versicolor
2.5	7.5	3.5	Versicolor
3.5	5.4	2.6	Versicolor
4.1	7.1	1.4	Virginica
7.2	2.0	0.4	Setosa
6.9	4.7	2.4	Setosa
6.9	2.5	4.7	Setosa
5.9	2.4	1.2	Setosa
7.0	8.7	4.0	Virginica
3.3	5.1	5.0	Versicolor
7.4	9.1	4.8	Versicolor
6.7	8.6	2.0	Versicolor
3.3	7.6	2.2	Virginica
5.9	5.2	2.9	Versicolor
3.0	5.4	3.8	Virginica
5.7	2.8	2.7	Setosa
6.3	9.7	6.5	Virginica
5.2	8.5	1.5	Virginica
6.9	6.1	2.8	Versicolor
4.8	2.0	3.3	Setosa
4.4	8.1	3.3	Virginica
5.6	5.7	5.5	Versicolor
3.8	5.1	3.2	Setosa
4.3	4.2	2.0	Setosa
7.3	8.7	5.2	Virginica
3.5	1.4	1.8	Setosa
6.3	5.7	2.3	Setosa
4.3	5.7	5.1	Versicolor
7.2	8.1	3.0	Virginica
4.5	6.8	2.8	Virginica
4.8	6.9	1.3	Versicolor
8.0	4.3	1.8	Setosa
3.7	4.7	2.9	Versicolor
5.3	7.6	3.4	Virginica
7.0	8.2	5.8	Virginica
3.2	6.2	3.3	Virginica
3.7	9.3	6.4	Virginica
4.7	4.3	2.2	Setosa
5.5	1.7	0.2	Setosa
3.9	3.8	4.1	Versicolor
2.7	4.4	4.7	Versicolor
6.8	6.7	5.7	Versicolor
2.8	5.8	5.4	Versicolor
6.8	8.7	2.5	Virginica
3.8	4.8	4.3	Virginica
7.0	4.3	2.7	Setosa
2.9	6.7	1.0	Versicolor
6.3	4.9	5.5	Virginica
4.6	2.5	1.1	Setosa
4.5	6.7	6.0	Versicolor
3.1	5.4	5.5	Versicolor
6.2	4.4	4.7	Setosa
5.2	4.4	1.4	Versicolor
7.7	6.0	2.5	Versicolor
6.6	5.0	0.7	Setosa
7.3	9.1	5.4	Virginica
5.3	6.6	6.1	Virginica
5.0	7.5	1.6	Versicolor
7.0	3.4	1.3	Setosa
6.7	2.7	4.2	Setosa
