sepal.length	sepal.width	variety
5.1	6.8	Setosa
8.3	2.5	Virginica
7.7	3.9	Versicolor
6.6	4.8	Virginica
10.2	5.6	Versicolor
7.3	3.9	Setosa
8.3	4.2	Virginica
6.2	5.7	Versicolor
6.8	6.8	Versicolor
10.7	6.7	Virginica
8.0	7.5	Setosa
9.1	3.5	Setosa
8.7	5.9	Setosa
9.2	7.0	Versicolor
8.2	6.6	Virginica
6.6	7.2	Setosa
5.3	3.0	Setosa
7.4	6.9	Versicolor
9.3	6.2	Virginica
9.5	3.2	Setosa
7.9	4.8	Virginica
9.4	5.6	Virginica
8.8	4.2	Virginica
8.3	3.7	Versicolor
10.4	6.1	Versicolor
5.6	5.2	Setosa
9.1	7.8	Setosa
7.0	3.8	Setosa
9.2	8.6	Setosa
6.9	7.4	Setosa
7.4	5.7	Setosa
7.7	4.8	Virginica
6.9	7.3	Virginica
6.5	3.4	Setosa
7.3	7.1	Versicolor
5.1	6.9	Setosa
5.5	5.5	Versicolor
7.2	4.8	Virginica
7.6	4.9	Versicolor
7.9	4.1	Setosa
9.7	5.1	Versicolor
7.0	5.0	Setosa
9.4	6.2	Virginica
6.9	3.6	Setosa
8.9	7.0	Virginica
6.8	5.8	Virginica
8.5	3.4	Versicolor
7.6	4.5	Virginica
7.7	4.0	Virginica
8.7	6.0	Virginica
9.0	7.5	Virginica
8.2	4.5	Versicolor
7.7	6.3	Setosa
10.0	5.2	Versicolor
8.5	4.7	Virginica
9.5	4.9	Setosa
10.0	4.6	Versicolor
9.6	6.3	Setosa
7.1	4.5	Versicolor
9.5	6.9	Versicolor
9.1	7.0	Versicolor
9.8	7.5	Setosa
8.2	6.1	Virginica
9.5	7.3	Versicolor
8.6	7.3	Versicolor
9.2	8.9	Setosa
10.6	3.0	Virginica
6.0	2.2	Versicolor
6.7	6.3	Versicolor
7.5	6.4	Versicolor
6.9	5.9	Versicolor
10.7	5.5	Virginica
8.7	6.5	Virginica
9.1	6.5	Versicolor
10.2	4.9	Virginica
8.4	7.0	Versicolor
6.4	4.8	Virginica
8.2	6.5	Setosa
9.7	4.4	Versicolor
7.8	5.5	Setosa
11.7	5.3	Virginica
7.1	4.0	Versicolor
6.7	4.0	Virginica
8.6	3.8	Versicolor
9.5	2.3	Versicolor
7.7	6.3	Versicolor
5.9	5.1	Setosa
5.8	6.3	Virginica
10.9	5.7	Virginica
5.9	6.9	Setosa
6.1	4.9	Versicolor
6.0	2.3	Setosa
7.4	6.9	Setosa
8.5	5.0	Virginica
6.3	3.8	Virginica
8.0	6.4	Versicolor
5.1	5.1	Setosa
6.7	4.2	Versicolor
7.3	7.6	Setosa
9.4	7.5	Setosa
10.0	3.5	Virginica
6.8	3.2	Versicolor
8.9	4.8	Virginica
5.1	3.4	Setosa
8.0	6.3	Versicolor
