petal.length	variety
7.0	Versicolor
8.0	Virginica
7.5	Virginica
3.5	Setosa
6.7	Versicolor
2.5	Setosa
2.9	Setosa
6.4	Versicolor
8.6	Versicolor
7.9	Virginica
6.9	Versicolor
2.4	Setosa
7.8	Virginica
5.8	Versicolor
5.5	Versicolor
9.1	Virginica
5.0	Versicolor
6.6	Virginica
9.1	Versicolor
4.4	Setosa
3.4	Setosa
5.5	Setosa
8.6	Virginica
5.8	Versicolor
6.0	Versicolor
8.6	Virginica
4.7	Versicolor
2.4	Setosa
4.4	Setosa
10.2	Virginica
5.7	Virginica
5.3	Versicolor
3.9	Versicolor
4.7	Versicolor
7.3	Virginica
8.6	Virginica
4.5	Versicolor
4.8	Setosa
4.3	Setosa
8.1	Virginica
6.1	Virginica
5.1	Versicolor
8.0	Virginica
9.1	Virginica
2.5	Setosa
9.0	Versicolor
2.3	Setosa
4.7	Setosa
2.9	Setosa
1.9	Setosa
5.5	Setosa
8.2	Virginica
4.9	Setosa
3.1	Setosa
8.5	Versicolor
3.9	Setosa
6.5	Versicolor
9.7	Virginica
7.9	Versicolor
7.7	Versicolor
9.6	Virginica
7.0	Virginica
9.3	Virginica
9.2	Virginica
6.1	Versicolor
4.0	Setosa
6.0	Virginica
8.9	Virginica
7.8	Versicolor
3.6	Setosa
3.7	Setosa
9.9	Virginica
6.1	Virginica
10.4	Virginica
1.4	Setosa
10.8	Virginica
6.3	Versicolor
9.4	Versicolor
5.7	Setosa
9.2	Virginica
1.8	Setosa
5.9	Virginica
2.5	Setosa
6.1	Versicolor
4.9	Setosa
5.7	Setosa
6.1	Setosa
2.0	Setosa
1.8	Setosa
2.5	Setosa
9.1	Versicolor
7.6	Virginica
3.7	Setosa
5.4	Setosa
5.9	Versicolor
3.9	Setosa
5.2	Versicolor
8.4	Virginica
5.4	Virginica
4.0	Setosa
5.1	Setosa
8.0	Versicolor
6.9	Versicolor
9.6	Virginica
8.9	Virginica
