petal.length	variety
8.6	Versicolor
8.2	Virginica
8.5	Versicolor
8.7	Virginica
10.6	Virginica
2.0	Setosa
7.4	Versicolor
5.8	Setosa
1.8	Setosa
5.4	Setosa
7.6	Versicolor
7.1	Versicolor
8.8	Virginica
5.1	Setosa
7.5	Virginica
8.1	Virginica
10.9	Virginica
6.0	Virginica
6.1	Virginica
5.8	Virginica
3.6	Setosa
5.4	Virginica
9.6	Virginica
9.1	Versicolor
8.2	Versicolor
5.2	Versicolor
6.4	Versicolor
6.8	Versicolor
5.6	Virginica
1.4	Setosa
3.3	Setosa
4.5	Setosa
9.4	Virginica
7.7	Virginica
7.1	Versicolor
7.7	Virginica
6.7	Versicolor
10.7	Virginica
6.1	Virginica
6.4	Versicolor
8.4	Versicolor
9.1	Virginica
5.6	Virginica
6.0	Versicolor
3.4	Setosa
5.9	Setosa
1.8	Setosa
4.5	Versicolor
3.9	Setosa
6.2	Versicolor
7.1	Virginica
7.5	Virginica
4.4	Setosa
9.0	Virginica
7.3	Virginica
5.4	Setosa
8.8	Virginica
5.7	Setosa
5.4	Virginica
6.2	Versicolor
6.8	Versicolor
6.6	Virginica
4.3	Setosa
6.6	Virginica
3.5	Setosa
4.6	Setosa
6.6	Virginica
8.3	Virginica
3.3	Setosa
6.1	Versicolor
3.0	Setosa
6.2	Versicolor
2.7	Setosa
4.4	Setosa
5.2	Versicolor
4.8	Versicolor
6.0	Versicolor
8.9	Virginica
4.0	Setosa
4.7	Setosa
1.5	Setosa
7.8	Versicolor
5.0	Versicolor
8.1	Virginica
6.3	Virginica
3.2	Setosa
3.5	Versicolor
6.9	Versicolor
4.5	Versicolor
3.4	Setosa
10.6	Virginica
5.0	Setosa
7.4	Virginica
5.7	Setosa
6.1	Versicolor
6.5	Versicolor
6.1	Virginica
4.0	Versicolor
1.4	Setosa
4.0	Setosa
6.4	Versicolor
5.3	Virginica
4.0	Setosa
4.0	Versicolor
9.7	Virginica
