petal.length	petal.width	variety
8.5	1.6	Versicolor
1.2	4.7	Setosa
9.6	3.1	Virginica
6.6	4.9	Virginica
7.0	1.5	Versicolor
2.3	1.9	Setosa
4.1	2.7	Setosa
2.0	2.2	Setosa
1.5	4.2	Setosa
7.0	2.9	Virginica
1.4	4.2	Setosa
6.5	4.8	Versicolor
7.1	5.8	Versicolor
7.0	2.8	Virginica
3.5	0.6	Setosa
6.9	4.2	Versicolor
7.1	4.3	Virginica
5.9	2.7	Setosa
4.9	4.1	Versicolor
7.4	2.8	Virginica
5.7	2.8	Virginica
4.8	1.2	Setosa
5.0	3.5	Versicolor
9.4	6.3	Virginica
1.8	4.7	Setosa
6.9	2.4	Versicolor
5.7	4.7	Setosa
6.3	4.8	Virginica
1.6	0.2	Setosa
8.2	5.7	Virginica
6.0	3.7	Setosa
3.7	4.0	Setosa
8.9	5.4	Versicolor
7.3	4.3	Virginica
8.0	2.8	Versicolor
5.5	1.8	Versicolor
5.0	4.2	Setosa
3.5	4.9	Setosa
8.6	3.3	Virginica
8.2	2.3	Versicolor
6.0	4.1	Setosa
8.3	5.3	Virginica
1.6	2.1	Setosa
4.5	5.5	Versicolor
7.7	6.0	Versicolor
2.9	1.6	Setosa
5.0	3.7	Versicolor
5.2	4.7	Versicolor
6.3	2.8	Virginica
4.9	2.2	Setosa
1.9	0.9	Setosa
4.6	2.3	Versicolor
7.6	3.0	Versicolor
7.1	5.6	Virginica
7.8	4.1	Virginica
5.4	3.5	Versicolor
5.2	2.9	Setosa
5.9	2.9	Versicolor
1.6	0.9	Setosa
4.9	1.8	Versicolor
1.6	3.6	Setosa
8.5	3.5	Virginica
7.3	3.0	Versicolor
6.7	2.2	Versicolor
8.9	3.8	Virginica
8.3	3.8	Virginica
6.0	2.6	Versicolor
7.7	6.0	Virginica
6.0	0.4	Setosa
5.0	2.7	Virginica
9.4	6.3	Virginica
4.6	3.2	Setosa
6.1	3.4	Virginica
3.2	1.2	Setosa
6.4	4.6	Virginica
7.1	3.9	Virginica
2.4	4.2	Setosa
7.1	4.2	Virginica
5.6	5.8	Versicolor
3.9	3.2	Setosa
9.7	6.5	Virginica
7.7	5.6	Virginica
5.9	3.3	Virginica
5.3	1.8	Setosa
7.1	4.4	Virginica
1.0	4.2	Setosa
8.5	1.5	Versicolor
6.4	2.6	Virginica
9.6	5.0	Virginica
9.1	6.9	Virginica
2.3	3.7	Setosa
4.5	3.9	Setosa
7.0	5.1	Virginica
8.3	4.9	Versicolor
9.2	5.8	Virginica
4.0	3.7	Setosa
9.1	3.5	Virginica
2.0	2.2	Setosa
8.8	4.8	Versicolor
5.4	1.7	Setosa
3.1	2.7	Setosa
8.0	4.0	Versicolor
7.8	5.8	Versicolor
4.9	3.7	Versicolor
4.6	4.2	Setosa
