sepal.length	variety
6.6	Versicolor
7.2	Setosa
6.4	Versicolor
7.0	Setosa
5.8	Setosa
7.5	Versicolor
6.7	Setosa
6.2	Setosa
10.3	Versicolor
7.3	Versicolor
6.9	Setosa
9.3	Versicolor
5.5	Versicolor
8.5	Setosa
6.6	Setosa
5.1	Versicolor
8.2	Versicolor
12.2	Virginica
10.3	Virginica
8.9	Virginica
9.1	Setosa
7.5	Virginica
8.9	Versicolor
8.9	Versicolor
7.2	Versicolor
6.7	Virginica
6.9	Setosa
8.8	Versicolor
8.0	Setosa
8.4	Virginica
9.0	Virginica
8.4	Versicolor
5.9	Setosa
6.8	Virginica
9.1	Versicolor
5.7	Versicolor
10.0	Virginica
7.7	Virginica
7.2	Versicolor
6.5	Setosa
5.9	Setosa
8.9	Virginica
7.2	Virginica
10.0	Versicolor
7.0	Versicolor
9.5	Setosa
7.5	Setosa
6.4	Virginica
6.6	Virginica
6.6	Virginica
10.6	Versicolor
4.8	Setosa
7.5	Virginica
7.1	Setosa
7.3	Setosa
8.9	Virginica
7.8	Setosa
10.7	Virginica
11.1	Virginica
5.5	Versicolor
5.9	Setosa
7.8	Virginica
11.4	Virginica
8.9	Setosa
9.1	Virginica
7.3	Versicolor
7.7	Setosa
6.6	Setosa
10.7	Virginica
9.8	Virginica
10.1	Versicolor
8.5	Versicolor
6.8	Virginica
10.3	Virginica
6.8	Versicolor
8.2	Versicolor
8.1	Setosa
6.6	Versicolor
8.2	Versicolor
6.1	Versicolor
6.2	Versicolor
8.5	Setosa
9.0	Versicolor
8.2	Versicolor
10.7	Virginica
8.4	Setosa
5.0	Setosa
9.4	Setosa
6.9	Setosa
7.6	Versicolor
8.0	Versicolor
9.3	Versicolor
5.8	Virginica
7.5	Setosa
5.1	Setosa
9.7	Virginica
5.9	Setosa
7.8	Setosa
7.9	Setosa
9.2	Virginica
9.3	Virginica
9.7	Virginica
10.0	Versicolor
10.9	Virginica
6.6	Setosa
