sepal.length	sepal.width	petal.length	variety
8.4	4.7	8.2	Virginica
9.2	4.4	4.9	Setosa
5.3	7.9	6.4	Setosa
6.5	6.7	2.7	Setosa
10.7	6.6	6.9	Virginica
7.5	6.0	5.8	Virginica
9.7	7.0	6.5	Virginica
7.5	5.3	5.6	Versicolor
8.9	7.5	4.7	Versicolor
9.7	7.1	5.6	Virginica
10.1	3.8	4.5	Versicolor
6.7	5.0	1.5	Setosa
7.4	6.3	6.6	Virginica
7.0	6.5	9.3	Virginica
7.4	4.5	6.1	Virginica
6.8	6.7	7.6	Virginica
8.5	6.5	4.5	Versicolor
6.4	7.2	8.5	Versicolor
9.9	7.4	5.3	Setosa
10.2	6.3	8.2	Virginica
7.5	3.8	6.5	Versicolor
10.6	3.5	4.4	Versicolor
11.7	5.5	7.6	Virginica
8.5	5.7	2.4	Setosa
6.7	2.9	6.3	Versicolor
9.2	4.5	9.8	Virginica
7.9	4.7	7.8	Virginica
7.3	5.4	5.6	Setosa
7.8	3.8	7.9	Versicolor
7.7	4.7	5.0	Versicolor
9.8	5.6	7.0	Versicolor
10.7	5.6	4.7	Versicolor
5.8	7.6	5.6	Setosa
9.8	6.4	8.6	Virginica
9.4	5.7	8.8	Versicolor
11.6	4.5	11.1	Virginica
9.1	6.4	8.7	Versicolor
10.4	4.6	5.9	Versicolor
8.0	3.5	7.0	Versicolor
7.4	4.1	2.0	Setosa
9.9	6.7	6.0	Setosa
6.8	7.2	6.9	Virginica
9.5	5.4	8.0	Versicolor
8.6	7.4	5.6	Versicolor
10.7	4.0	5.7	Virginica
7.9	7.8	8.4	Virginica
6.6	8.1	3.0	Setosa
8.5	5.9	6.0	Setosa
7.2	7.1	5.9	Versicolor
6.0	3.7	9.1	Versicolor
6.4	5.5	3.9	Setosa
7.0	3.2	7.6	Virginica
8.7	5.9	4.5	Setosa
8.5	4.8	5.8	Setosa
8.3	4.2	6.1	Virginica
5.7	3.7	6.9	Versicolor
8.8	6.5	3.4	Setosa
7.4	7.7	1.3	Setosa
6.2	8.1	2.5	Setosa
7.9	5.9	7.3	Versicolor
6.5	6.1	2.9	Setosa
9.0	4.0	3.8	Setosa
10.1	4.0	7.0	Versicolor
8.7	3.8	6.7	Virginica
9.2	4.0	5.0	Versicolor
5.6	3.8	3.7	Setosa
11.4	5.6	6.9	Virginica
5.5	3.9	4.7	Versicolor
6.4	7.7	8.8	Virginica
7.0	7.0	1.6	Setosa
8.8	3.3	8.6	Virginica
4.3	6.0	3.6	Setosa
9.0	5.0	9.0	Virginica
5.6	6.0	3.0	Versicolor
10.4	5.1	7.5	Virginica
6.9	3.6	1.4	Setosa
7.6	3.4	2.4	Setosa
10.2	3.3	4.1	Versicolor
8.3	6.5	9.0	Virginica
7.7	7.3	10.7	Virginica
8.2	3.2	5.8	Setosa
9.4	5.4	2.5	Setosa
9.0	6.9	7.0	Versicolor
8.6	7.5	9.1	Versicolor
10.0	4.5	5.3	Setosa
7.7	6.6	5.5	Versicolor
10.7	7.3	4.8	Virginica
9.9	4.8	7.6	Virginica
8.3	4.8	8.8	Versicolor
6.1	7.2	6.0	Setosa
5.4	6.9	1.7	Setosa
7.3	3.2	4.6	Versicolor
7.8	8.0	4.7	Setosa
10.1	3.8	5.4	Virginica
8.1	8.0	4.9	Setosa
5.6	6.8	6.1	Setosa
6.5	2.6	5.4	Versicolor
9.6	5.8	8.7	Versicolor
6.6	3.7	2.4	Setosa
9.6	4.9	2.0	Setosa
10.2	6.1	9.6	Virginica
7.8	7.4	7.3	Virginica
7.8	3.3	5.7	Versicolor
8.4	6.6	6.0	Setosa
6.6	3.0	7.9	Virginica
