sepal.length	sepal.width	petal.length	petal.width	variety
8.6	7.3	4.0	5.8	Versicolor
4.6	4.1	2.5	4.7	Setosa
7.9	6.5	2.8	2.2	Setosa
6.0	2.3	3.8	1.5	Versicolor
9.5	6.9	7.8	4.1	Versicolor
9.4	5.8	8.6	6.6	Virginica
9.0	6.9	4.1	1.9	Setosa
8.2	5.4	2.0	3.9	Setosa
7.1	5.0	7.6	2.4	Versicolor
9.2	3.8	8.7	3.0	Virginica
11.2	6.8	7.2	3.0	Virginica
5.5	3.8	2.3	3.8	Setosa
8.0	6.0	2.1	3.7	Setosa
5.5	7.3	5.4	3.2	Setosa
7.4	6.7	6.8	4.3	Versicolor
9.5	7.1	3.9	1.2	Setosa
6.6	4.5	5.4	1.8	Virginica
9.0	7.0	5.8	4.8	Virginica
11.2	6.1	5.2	2.0	Versicolor
8.1	7.3	3.9	1.4	Setosa
8.6	4.9	5.9	2.8	Setosa
7.9	5.3	10.1	3.4	Virginica
9.2	5.7	7.0	4.0	Versicolor
6.7	5.5	9.7	6.8	Virginica
8.9	3.9	1.3	4.4	Setosa
6.3	2.9	7.1	1.8	Virginica
7.8	3.7	7.9	6.3	Virginica
9.6	4.3	6.7	4.7	Versicolor
8.9	8.3	7.9	4.5	Virginica
11.0	4.0	8.5	4.8	Virginica
10.4	4.1	9.1	2.3	Virginica
6.4	5.7	9.8	6.3	Virginica
7.3	7.4	4.1	3.2	Setosa
6.9	5.2	8.8	2.4	Virginica
8.6	4.2	5.5	1.4	Setosa
5.6	5.5	7.5	2.0	Versicolor
7.2	6.8	7.5	5.3	Versicolor
6.6	3.6	1.5	4.7	Setosa
7.0	2.9	4.5	2.5	Versicolor
6.2	6.6	4.5	1.5	Versicolor
8.2	5.1	7.9	3.4	Versicolor
10.5	3.2	7.6	2.5	Virginica
7.1	3.5	5.4	3.1	Versicolor
7.2	5.7	4.8	0.7	Setosa
6.9	4.5	6.5	1.5	Versicolor
8.3	4.6	4.1	0.7	Setosa
8.1	5.5	4.9	3.4	Versicolor
8.4	6.2	4.8	1.7	Setosa
6.7	7.8	5.2	3.3	Setosa
9.8	4.3	5.7	1.6	Versicolor
7.3	8.2	4.5	0.2	Setosa
8.6	6.0	10.4	6.6	Virginica
6.6	3.0	6.0	1.1	Versicolor
6.7	2.8	5.1	1.3	Versicolor
7.0	2.0	5.0	4.5	Versicolor
6.4	7.9	5.0	0.9	Setosa
7.6	4.4	7.1	3.3	Versicolor
9.1	5.5	6.6	4.3	Versicolor
9.1	7.4	5.5	0.2	Setosa
9.7	3.8	7.8	5.8	Virginica
6.2	5.1	2.0	1.6	Setosa
7.3	4.9	10.1	4.4	Virginica
7.2	5.5	9.8	1.6	Virginica
7.6	4.6	9.6	2.4	Virginica
5.4	4.4	6.8	5.5	Versicolor
8.2	7.0	9.5	6.2	Versicolor
9.6	5.8	6.9	5.0	Virginica
5.9	6.9	5.9	0.2	Setosa
8.2	4.5	8.7	2.7	Versicolor
6.5	6.5	1.3	3.8	Setosa
8.6	4.3	5.6	0.2	Setosa
5.7	7.5	1.5	2.2	Setosa
8.8	5.2	9.6	4.9	Virginica
5.2	4.7	2.1	4.7	Setosa
7.3	2.7	7.4	1.7	Versicolor
9.0	6.3	5.0	2.8	Versicolor
7.9	5.1	9.4	2.5	Versicolor
7.6	7.2	5.4	1.7	Setosa
10.0	6.0	1.8	4.7	Setosa
6.9	6.1	5.9	3.1	Virginica
5.9	7.1	5.5	1.2	Setosa
8.8	6.8	7.0	6.5	Virginica
8.8	8.5	4.7	1.2	Setosa
9.3	4.3	6.6	3.4	Virginica
8.5	7.4	7.0	1.6	Versicolor
7.4	5.5	8.5	1.7	Virginica
6.1	6.9	8.7	2.4	Versicolor
9.4	5.5	4.9	0.2	Setosa
9.6	4.0	3.9	2.7	Setosa
8.9	6.7	5.5	5.5	Versicolor
8.5	5.6	8.4	4.7	Versicolor
8.0	4.5	6.7	6.5	Virginica
8.9	3.9	8.3	2.3	Versicolor
6.1	7.3	5.0	3.8	Setosa
9.2	3.9	7.9	4.3	Virginica
7.7	5.5	10.6	4.8	Virginica
6.9	4.0	8.1	2.3	Virginica
8.3	4.3	6.8	2.4	Versicolor
7.5	2.7	6.0	4.5	Versicolor
6.5	3.5	5.6	2.1	Setosa
6.8	4.0	8.9	2.5	Versicolor
6.3	7.0	2.4	0.3	Setosa
5.2	5.9	4.4	0.7	Setosa
6.0	4.0	4.0	4.3	Versicolor
9.6	3.4	5.6	5.3	Versicolor
