sepal.width	variety
3.0	Setosa
5.5	Virginica
2.3	Setosa
6.5	Versicolor
3.2	Versicolor
3.8	Virginica
6.7	Versicolor
6.0	Setosa
6.9	Setosa
6.0	Setosa
3.8	Versicolor
6.8	Virginica
4.1	Virginica
4.2	Versicolor
2.5	Virginica
5.0	Setosa
4.6	Virginica
4.2	Virginica
5.2	Setosa
4.9	Virginica
7.3	Setosa
4.6	Versicolor
3.0	Virginica
2.7	Virginica
7.3	Versicolor
3.3	Virginica
3.3	Virginica
6.9	Versicolor
6.7	Setosa
6.7	Virginica
4.9	Setosa
5.1	Versicolor
5.4	Setosa
5.4	Versicolor
6.3	Versicolor
4.0	Virginica
4.1	Setosa
6.1	Virginica
6.1	Virginica
3.0	Versicolor
7.6	Setosa
7.2	Virginica
4.8	Virginica
6.4	Versicolor
2.9	Versicolor
5.2	Setosa
5.5	Virginica
6.8	Setosa
6.2	Versicolor
3.0	Versicolor
4.5	Virginica
8.0	Setosa
6.2	Setosa
4.5	Setosa
3.6	Setosa
4.7	Setosa
5.7	Versicolor
7.6	Virginica
4.9	Versicolor
6.1	Setosa
8.1	Setosa
5.8	Versicolor
3.8	Virginica
4.9	Versicolor
4.1	Setosa
7.0	Versicolor
3.4	Setosa
4.6	Versicolor
6.0	Virginica
7.0	Virginica
3.4	Versicolor
5.7	Setosa
4.5	Setosa
6.2	Versicolor
5.4	Setosa
7.9	Setosa
4.1	Setosa
5.0	Virginica
5.4	Setosa
3.6	Versicolor
5.8	Virginica
7.7	Setosa
3.5	Setosa
6.7	Virginica
4.8	Versicolor
4.7	Versicolor
5.2	Virginica
6.8	Virginica
4.7	Setosa
5.5	Virginica
5.0	Versicolor
2.3	Versicolor
5.5	Virginica
6.6	Versicolor
5.7	Versicolor
4.6	Setosa
6.4	Virginica
3.5	Virginica
7.1	Virginica
3.9	Versicolor
3.4	Versicolor
5.9	Versicolor
3.4	Setosa
4.5	Setosa
6.3	Virginica
