petal.width	variety
3.3	Setosa
4.6	Setosa
6.6	Virginica
2.6	Virginica
1.0	Versicolor
0.3	Setosa
5.5	Versicolor
5.0	Versicolor
5.8	Virginica
2.6	Virginica
2.7	Setosa
2.9	Setosa
6.8	Virginica
1.1	Setosa
1.3	Versicolor
5.3	Virginica
4.0	Virginica
4.4	Versicolor
2.6	Versicolor
1.2	Setosa
4.5	Versicolor
2.2	Setosa
3.2	Setosa
1.3	Versicolor
5.5	Virginica
6.5	Virginica
3.8	Virginica
3.0	Versicolor
0.4	Setosa
0.7	Setosa
1.2	Setosa
3.2	Versicolor
5.7	Virginica
5.8	Versicolor
3.2	Setosa
0.3	Setosa
3.4	Versicolor
2.3	Versicolor
4.2	Versicolor
4.7	Versicolor
4.0	Versicolor
3.2	Setosa
3.9	Setosa
4.4	Virginica
1.8	Versicolor
3.0	Versicolor
3.7	Setosa
2.5	Versicolor
4.3	Virginica
3.7	Setosa
4.1	Virginica
1.6	Versicolor
2.7	Versicolor
5.4	Virginica
3.9	Versicolor
4.8	Setosa
2.7	Setosa
1.1	Setosa
1.2	Setosa
5.6	Virginica
4.8	Virginica
2.8	Versicolor
1.7	Setosa
1.7	Setosa
2.2	Setosa
1.2	Setosa
4.3	Virginica
1.8	Virginica
1.6	Versicolor
3.9	Virginica
2.4	Virginica
3.9	Versicolor
1.3	Versicolor
6.4	Virginica
3.2	Virginica
5.3	Versicolor
3.7	Setosa
4.3	Virginica
1.9	Setosa
2.1	Virginica
3.3	Virginica
5.8	Virginica
1.1	Versicolor
4.0	Virginica
4.7	Virginica
2.4	Versicolor
5.8	Virginica
3.5	Versicolor
4.0	Virginica
5.9	Versicolor
4.7	Versicolor
2.5	Virginica
5.3	Virginica
4.2	Setosa
1.6	Versicolor
2.6	Setosa
1.6	Versicolor
1.3	Versicolor
4.4	Versicolor
2.7	Setosa
2.9	Virginica
2.6	Setosa
4.5	Versicolor
4.8	Virginica
1.7	Setosa
