sepal.length	sepal.width	petal.length	variety
6.3	6.8	6.2	Versicolor
7.5	4.5	8.0	Virginica
9.6	2.7	7.7	Versicolor
8.9	4.2	2.0	Setosa
9.6	6.5	8.9	Virginica
6.8	5.7	4.4	Versicolor
4.4	5.9	2.9	Setosa
9.7	6.9	3.5	Setosa
7.6	6.5	4.4	Setosa
9.8	6.7	7.1	Virginica
7.9	4.1	6.4	Virginica
5.9	3.0	8.6	Virginica
7.3	5.4	10.1	Virginica
5.6	2.5	5.5	Versicolor
8.8	6.5	4.6	Setosa
10.0	2.6	6.9	Versicolor
8.2	4.3	8.8	Virginica
4.9	7.6	5.9	Setosa
7.3	4.0	7.5	Virginica
6.5	5.3	1.9	Setosa
6.2	6.9	6.8	Versicolor
7.5	3.4	7.0	Versicolor
8.0	3.4	6.8	Versicolor
10.6	3.9	7.6	Versicolor
8.1	7.5	7.5	Versicolor
9.6	5.0	8.4	Versicolor
8.7	5.3	7.7	Virginica
8.0	6.0	5.7	Virginica
6.2	5.4	5.9	Virginica
7.8	7.2	7.1	Versicolor
10.3	5.3	7.9	Versicolor
6.9	5.1	9.6	Virginica
6.6	4.5	5.9	Setosa
8.7	8.1	7.6	Virginica
9.6	6.9	8.7	Versicolor
10.8	7.4	7.8	Virginica
9.1	4.2	3.5	Setosa
9.5	3.2	8.0	Virginica
9.4	4.8	9.6	Virginica
7.5	7.0	7.5	Versicolor
7.6	4.9	3.5	Setosa
10.5	3.7	6.5	Versicolor
8.9	6.0	1.3	Setosa
9.2	4.6	4.4	Versicolor
6.4	4.4	5.7	Setosa
7.3	4.3	4.8	Versicolor
6.1	6.3	4.1	Setosa
8.1	3.7	2.9	Setosa
9.9	5.7	8.7	Virginica
8.7	5.6	6.0	Setosa
5.8	5.2	5.5	Setosa
6.6	4.3	2.2	Setosa
7.9	5.7	7.8	Virginica
8.4	3.2	7.8	Virginica
7.3	7.9	5.9	Setosa
7.9	3.4	3.0	Setosa
6.2	5.5	3.0	Setosa
9.0	6.9	2.1	Setosa
10.1	4.5	8.6	Virginica
6.3	7.0	2.9	Setosa
7.2	4.0	7.8	Virginica
7.5	4.9	5.5	Setosa
9.4	6.3	9.4	Virginica
8.5	3.2	6.1	Virginica
9.5	7.0	4.1	Setosa
6.2	4.2	2.6	Setosa
12.2	4.1	11.4	Virginica
8.4	3.1	6.0	Setosa
6.2	4.8	3.7	Setosa
4.9	4.9	4.3	Versicolor
5.0	5.3	1.8	Setosa
10.9	7.1	9.4	Versicolor
10.4	4.3	9.1	Virginica
6.4	5.2	6.5	Versicolor
8.6	5.0	6.1	Versicolor
7.2	4.1	3.5	Versicolor
10.5	7.4	4.5	Versicolor
6.4	7.6	7.5	Virginica
5.1	6.1	3.5	Setosa
7.7	5.8	7.2	Virginica
4.8	6.6	4.6	Setosa
7.5	4.2	2.9	Setosa
7.8	7.0	6.0	Virginica
8.8	6.9	6.1	Setosa
11.2	6.7	9.5	Virginica
6.7	5.0	9.5	Virginica
7.0	6.7	7.7	Versicolor
5.2	5.4	5.9	Setosa
5.5	6.0	6.1	Setosa
4.6	3.9	3.4	Setosa
6.4	4.2	1.8	Setosa
5.4	3.5	8.5	Versicolor
9.7	2.8	10.7	Virginica
6.3	7.0	8.4	Versicolor
9.6	4.5	9.1	Versicolor
7.3	3.7	7.4	Virginica
11.2	4.3	6.7	Virginica
10.8	3.9	7.1	Virginica
7.9	4.0	9.0	Virginica
9.5	5.8	8.0	Versicolor
8.6	5.8	8.9	Virginica
9.3	7.0	3.7	Setosa
8.9	6.6	2.5	Setosa
7.2	6.3	7.6	Versicolor
7.7	4.1	9.1	Virginica
