sepal.length	sepal.width	petal.length	petal.width	variety
5.1	6.8	1.6	1.7	Setosa
8.4	3.9	6.8	1.5	Versicolor
6.7	5.5	5.7	3.2	Versicolor
7.0	6.2	7.1	5.0	Virginica
8.6	7.5	5.4	2.8	Setosa
11.2	5.6	7.4	6.3	Virginica
6.5	3.5	9.8	4.2	Virginica
8.7	5.4	6.4	4.8	Virginica
7.2	8.0	3.0	0.2	Setosa
10.9	2.7	6.3	3.9	Virginica
10.8	2.9	8.6	5.3	Virginica
7.2	3.4	6.3	5.3	Versicolor
5.5	6.4	6.1	0.4	Setosa
8.2	5.0	5.7	3.8	Virginica
7.3	6.9	6.8	2.3	Virginica
8.2	6.1	9.1	4.9	Virginica
10.4	6.7	8.2	6.3	Virginica
9.1	7.0	3.5	3.6	Versicolor
6.8	3.4	5.6	2.9	Virginica
7.4	3.1	7.6	5.8	Virginica
9.7	6.6	10.1	5.5	Virginica
6.9	7.9	2.3	3.4	Setosa
7.2	5.2	3.1	2.7	Setosa
9.9	2.8	9.6	5.6	Virginica
9.7	7.1	4.5	3.0	Versicolor
7.6	6.8	7.5	4.3	Versicolor
6.5	4.7	7.0	5.0	Versicolor
8.7	7.3	6.5	2.8	Versicolor
8.4	4.9	7.3	1.3	Versicolor
6.8	3.5	7.0	6.1	Virginica
7.6	6.1	6.1	2.4	Virginica
8.9	5.0	4.5	4.2	Virginica
10.6	2.8	6.2	4.7	Versicolor
8.6	3.9	6.1	3.8	Versicolor
9.7	5.8	6.1	3.3	Versicolor
5.4	5.9	3.5	4.9	Setosa
8.0	3.5	2.8	0.7	Setosa
11.0	4.5	9.5	2.3	Virginica
5.0	6.5	2.8	4.3	Setosa
8.4	3.4	4.2	1.7	Setosa
11.2	5.5	8.8	3.6	Virginica
5.6	6.5	8.6	1.3	Versicolor
7.3	4.4	2.4	1.2	Setosa
7.6	5.5	4.4	1.4	Versicolor
9.0	7.0	5.0	2.8	Versicolor
4.6	3.6	5.5	4.7	Setosa
5.2	6.9	4.4	3.2	Setosa
9.8	4.7	4.9	2.2	Versicolor
8.2	7.3	8.7	5.0	Virginica
10.9	6.8	7.1	5.7	Virginica
9.0	4.0	7.5	4.0	Versicolor
5.1	7.7	2.5	4.9	Setosa
9.0	5.0	2.1	1.2	Setosa
9.5	4.2	5.7	1.9	Versicolor
8.9	3.3	8.6	6.4	Virginica
9.4	7.4	5.2	1.9	Setosa
10.8	6.3	7.9	3.8	Versicolor
9.2	4.4	3.5	3.4	Setosa
6.4	4.7	2.3	3.2	Setosa
11.2	6.6	4.9	2.9	Versicolor
8.0	7.5	9.2	6.5	Virginica
8.0	8.7	5.9	0.7	Setosa
9.4	3.7	8.8	4.3	Virginica
10.4	4.6	7.0	4.8	Virginica
7.7	3.7	9.0	5.5	Versicolor
6.5	5.9	5.2	4.0	Versicolor
6.8	4.2	6.1	1.5	Versicolor
7.7	7.1	3.5	1.6	Setosa
9.4	3.6	8.4	3.5	Versicolor
8.5	6.8	5.3	2.3	Setosa
9.0	3.7	6.5	4.0	Virginica
9.1	3.5	5.9	5.6	Virginica
5.8	5.6	7.5	2.7	Versicolor
8.4	7.0	6.6	6.3	Virginica
5.8	7.7	2.0	1.7	Setosa
8.1	3.6	5.5	3.2	Setosa
8.1	6.3	5.9	3.4	Setosa
9.2	5.3	2.7	2.8	Setosa
5.9	7.7	3.0	3.2	Setosa
4.3	4.5	3.6	1.6	Setosa
8.7	3.0	8.6	5.8	Virginica
6.0	4.3	5.9	2.2	Setosa
6.1	7.2	6.7	5.3	Versicolor
9.0	4.3	9.1	2.5	Versicolor
5.8	5.5	5.9	3.1	Setosa
8.7	5.6	8.7	2.0	Versicolor
9.7	4.8	6.7	4.0	Virginica
7.4	6.5	3.9	3.2	Setosa
6.4	5.0	8.5	5.0	Versicolor
8.3	7.7	6.9	6.8	Virginica
9.5	5.6	4.9	2.2	Setosa
6.6	6.0	6.6	5.4	Versicolor
6.3	6.4	2.6	3.7	Setosa
10.4	4.2	5.8	1.8	Versicolor
7.0	3.9	5.5	4.6	Versicolor
5.2	6.7	4.9	1.4	Versicolor
7.7	7.0	7.0	5.0	Virginica
9.8	6.3	9.6	2.5	Virginica
10.9	7.7	8.0	2.0	Versicolor
8.3	3.2	5.6	2.4	Virginica
10.1	7.5	8.6	4.1	Virginica
9.5	6.8	5.0	2.8	Versicolor
5.1	5.9	2.4	0.3	Setosa
7.4	5.4	1.9	3.7	Setosa
9.3	3.7	6.1	3.9	Virginica
