sepal.width	petal.length	petal.width	variety
3.5	1.9	0.3	Setosa
5.4	5.8	4.3	Versicolor
2.7	5.9	3.9	Versicolor
5.4	7.6	4.8	Virginica
6.4	8.5	6.1	Versicolor
6.8	6.7	4.2	Virginica
7.2	6.7	2.8	Versicolor
7.0	4.0	2.2	Setosa
3.1	3.5	3.1	Setosa
3.6	7.0	4.5	Versicolor
4.6	8.0	6.3	Virginica
3.7	5.6	5.0	Versicolor
3.1	5.4	1.4	Versicolor
3.3	7.9	6.5	Virginica
3.1	9.1	3.9	Virginica
5.2	4.6	0.2	Setosa
7.5	3.1	1.7	Setosa
3.5	3.6	1.6	Setosa
4.5	6.9	3.5	Versicolor
5.1	7.6	5.5	Virginica
6.2	3.5	4.4	Setosa
4.3	7.0	4.8	Versicolor
6.1	7.7	6.0	Versicolor
7.0	10.3	4.7	Virginica
4.5	2.6	0.1	Setosa
6.8	7.4	1.3	Versicolor
3.8	9.1	6.0	Virginica
5.0	5.4	3.8	Setosa
6.8	9.1	5.9	Virginica
4.7	6.5	3.8	Virginica
4.9	5.4	0.2	Setosa
5.0	4.5	3.5	Versicolor
7.2	6.0	0.7	Setosa
3.3	3.3	0.3	Setosa
4.1	4.6	1.7	Setosa
4.4	1.5	0.7	Setosa
6.4	5.2	3.3	Versicolor
5.5	4.2	1.7	Setosa
5.9	4.7	0.7	Setosa
8.1	1.5	4.6	Setosa
4.3	6.3	5.0	Versicolor
5.0	3.4	0.6	Setosa
2.5	5.0	5.5	Virginica
6.2	6.5	2.0	Versicolor
5.4	3.5	3.7	Setosa
6.0	6.2	5.8	Virginica
6.3	6.2	3.2	Versicolor
6.4	7.3	2.3	Virginica
7.5	8.2	1.7	Versicolor
4.8	1.7	0.5	Setosa
3.7	8.4	3.2	Versicolor
3.9	5.3	1.1	Versicolor
3.3	10.1	5.9	Virginica
6.4	6.0	0.4	Setosa
5.0	6.0	5.1	Versicolor
3.9	5.4	2.3	Virginica
3.0	9.1	2.3	Virginica
6.0	7.8	3.6	Virginica
3.8	8.0	3.8	Versicolor
6.2	3.4	4.7	Setosa
7.0	5.2	1.5	Versicolor
4.3	10.2	4.5	Virginica
4.5	5.4	1.4	Versicolor
7.1	1.9	3.1	Setosa
5.4	4.1	2.4	Setosa
4.6	6.0	1.2	Setosa
5.7	7.7	5.8	Virginica
5.9	7.7	3.4	Versicolor
4.5	1.3	0.2	Setosa
5.4	2.8	4.9	Setosa
5.9	7.7	4.0	Versicolor
5.5	5.9	6.6	Virginica
4.5	5.1	3.8	Virginica
3.2	4.5	5.0	Versicolor
6.0	5.9	4.7	Setosa
4.0	4.8	6.3	Virginica
3.3	2.9	2.7	Setosa
6.7	2.5	2.2	Setosa
6.4	5.5	2.9	Setosa
6.2	5.8	6.4	Virginica
3.3	4.5	3.3	Versicolor
6.3	8.7	4.0	Virginica
3.0	7.5	3.3	Virginica
7.7	3.4	3.2	Setosa
7.4	4.2	3.4	Setosa
4.0	8.0	3.8	Versicolor
4.3	8.6	5.7	Virginica
5.5	7.3	1.8	Virginica
4.5	7.1	4.1	Virginica
5.5	8.4	1.6	Versicolor
7.5	7.1	4.9	Versicolor
4.9	3.4	3.7	Setosa
3.8	6.8	2.8	Virginica
4.1	5.0	3.7	Setosa
3.8	10.4	6.0	Virginica
3.5	10.0	5.1	Virginica
4.9	6.1	4.2	Setosa
6.2	6.9	2.3	Virginica
3.8	6.6	2.5	Versicolor
6.1	7.1	6.8	Virginica
7.5	9.5	4.2	Versicolor
3.7	9.5	2.5	Virginica
6.5	7.5	4.9	Virginica
3.6	7.9	6.6	Virginica
4.0	7.0	5.5	Versicolor
