petal.length	variety
2.6	Setosa
1.4	Setosa
4.6	Versicolor
5.5	Setosa
7.5	Versicolor
9.0	Virginica
10.1	Virginica
7.2	Virginica
4.8	Versicolor
8.6	Virginica
8.4	Virginica
4.0	Setosa
8.9	Virginica
8.9	Versicolor
3.4	Setosa
4.0	Versicolor
5.4	Virginica
10.0	Virginica
7.6	Virginica
4.1	Versicolor
4.8	Setosa
3.4	Setosa
4.2	Versicolor
8.5	Versicolor
9.0	Virginica
4.9	Virginica
8.0	Versicolor
1.5	Setosa
1.5	Setosa
4.9	Setosa
4.7	Versicolor
6.0	Versicolor
8.8	Virginica
4.0	Setosa
6.1	Setosa
8.1	Virginica
9.2	Versicolor
4.9	Versicolor
6.3	Virginica
6.0	Setosa
7.0	Virginica
6.0	Setosa
6.7	Virginica
8.4	Virginica
9.1	Virginica
4.4	Setosa
8.7	Virginica
4.0	Setosa
9.3	Virginica
7.8	Versicolor
5.8	Virginica
7.6	Versicolor
6.1	Virginica
5.5	Versicolor
2.3	Setosa
6.0	Versicolor
8.7	Versicolor
4.8	Versicolor
9.2	Versicolor
7.4	Versicolor
5.4	Versicolor
7.9	Versicolor
5.2	Setosa
7.0	Versicolor
5.6	Versicolor
7.5	Virginica
2.9	Setosa
5.9	Versicolor
7.6	Virginica
3.4	Setosa
5.6	Virginica
3.9	Versicolor
4.5	Virginica
6.3	Versicolor
3.1	Setosa
1.3	Setosa
6.7	Virginica
2.1	Setosa
2.9	Setosa
6.5	Virginica
6.2	Setosa
8.5	Versicolor
4.9	Setosa
6.2	Virginica
4.2	Setosa
4.4	Versicolor
2.0	Setosa
4.7	Versicolor
8.6	Virginica
4.7	Setosa
8.8	Versicolor
4.4	Setosa
6.1	Virginica
5.1	Setosa
6.8	Versicolor
6.9	Virginica
6.1	Setosa
5.9	Versicolor
5.9	Virginica
2.4	Setosa
8.3	Virginica
7.5	Versicolor
9.6	Virginica
6.7	Virginica
5.1	Virginica
