sepal.length	variety
11.2	Virginica
7.0	Setosa
9.9	Setosa
10.3	Virginica
8.1	Versicolor
4.8	Setosa
9.8	Virginica
8.8	Versicolor
9.6	Versicolor
9.5	Virginica
8.4	Setosa
9.0	Setosa
9.4	Versicolor
7.7	Virginica
7.1	Virginica
8.9	Versicolor
7.6	Setosa
5.6	Versicolor
7.3	Setosa
8.5	Virginica
9.3	Setosa
6.3	Setosa
6.0	Versicolor
9.7	Setosa
8.4	Virginica
7.3	Virginica
5.7	Virginica
7.8	Versicolor
7.2	Versicolor
7.3	Virginica
10.8	Versicolor
7.5	Virginica
8.9	Versicolor
9.0	Setosa
6.4	Setosa
5.1	Setosa
9.4	Versicolor
9.3	Virginica
8.5	Setosa
7.9	Virginica
6.5	Versicolor
8.4	Virginica
8.4	Virginica
6.6	Setosa
7.0	Virginica
6.2	Versicolor
8.5	Versicolor
8.1	Setosa
9.6	Setosa
7.5	Versicolor
5.0	Setosa
6.6	Setosa
7.8	Virginica
7.0	Versicolor
8.0	Setosa
7.4	Setosa
7.7	Setosa
9.7	Versicolor
8.4	Virginica
6.1	Virginica
9.5	Versicolor
6.6	Setosa
8.8	Setosa
7.0	Versicolor
8.9	Virginica
7.2	Virginica
6.3	Setosa
8.4	Setosa
8.7	Virginica
9.2	Virginica
7.5	Virginica
6.8	Virginica
8.5	Versicolor
4.4	Setosa
8.6	Setosa
8.2	Versicolor
10.3	Virginica
8.6	Setosa
7.7	Setosa
5.4	Setosa
10.1	Versicolor
9.2	Virginica
8.1	Versicolor
8.0	Versicolor
9.7	Virginica
11.6	Virginica
7.7	Virginica
7.2	Versicolor
7.2	Virginica
7.4	Virginica
8.7	Virginica
10.3	Virginica
7.7	Versicolor
8.2	Versicolor
9.5	Setosa
8.8	Virginica
7.0	Setosa
7.0	Versicolor
7.8	Versicolor
9.5	Setosa
6.6	Versicolor
7.7	Versicolor
8.7	Virginica
6.9	Versicolor
10.9	Virginica
