sepal.length	variety
7.9	Setosa
7.2	Virginica
7.1	Setosa
9.6	Versicolor
8.6	Setosa
10.1	Versicolor
7.6	Versicolor
7.9	Setosa
10.1	Versicolor
8.7	Versicolor
6.5	Versicolor
6.6	Setosa
8.3	Versicolor
8.5	Versicolor
9.5	Versicolor
5.0	Versicolor
7.4	Versicolor
6.8	Versicolor
9.7	Virginica
7.5	Setosa
8.2	Virginica
8.8	Versicolor
10.2	Versicolor
6.2	Virginica
9.0	Setosa
7.3	Setosa
8.5	Versicolor
8.9	Versicolor
5.5	Versicolor
6.9	Versicolor
6.0	Versicolor
10.3	Versicolor
9.7	Virginica
8.5	Versicolor
8.9	Versicolor
10.2	Versicolor
9.5	Virginica
11.2	Versicolor
9.1	Setosa
4.9	Setosa
5.9	Setosa
9.3	Setosa
9.1	Virginica
5.9	Setosa
8.4	Virginica
8.0	Versicolor
8.9	Virginica
7.0	Setosa
10.4	Virginica
9.5	Setosa
7.7	Versicolor
7.7	Versicolor
8.7	Virginica
9.9	Versicolor
8.4	Versicolor
10.4	Virginica
6.0	Setosa
6.0	Versicolor
7.9	Virginica
10.1	Virginica
8.4	Virginica
10.6	Versicolor
5.6	Setosa
11.4	Virginica
10.5	Virginica
5.9	Setosa
7.2	Setosa
6.0	Virginica
10.9	Virginica
6.1	Versicolor
5.8	Versicolor
9.5	Setosa
6.0	Setosa
7.7	Virginica
8.7	Versicolor
10.5	Versicolor
10.8	Virginica
10.8	Virginica
8.6	Setosa
6.2	Setosa
8.7	Virginica
7.3	Setosa
8.1	Setosa
7.4	Setosa
10.4	Virginica
7.3	Versicolor
10.3	Virginica
9.6	Versicolor
5.8	Virginica
8.2	Virginica
7.5	Setosa
8.8	Setosa
9.3	Setosa
6.2	Setosa
6.5	Versicolor
8.2	Virginica
6.3	Virginica
7.8	Virginica
7.1	Versicolor
9.2	Versicolor
9.3	Virginica
10.7	Virginica
5.7	Setosa
5.6	Versicolor
9.6	Versicolor
